message,product_price,player,round,decision,new_offer
"Hello Bob, I have a unique and valuable product that I'm excited to offer to you. I believe it's worth a lot to you, and I'm willing to make a competitive offer. I'm thinking of selling it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but $120 is a bit higher than I was expecting. I'd like to make a counteroffer of $90. I'm willing to pay that amount for the product.",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand that $120 was a bit steep, but $90 is a bit low for me. I'm willing to meet you in the middle and make a counteroffer of $105. I believe this is a fair price for the product and I'm confident you'll find it worth it.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand that you're looking to make a profit, but I'm still a bit hesitant to pay $105. I'd like to make a counteroffer of $95. I'm willing to meet you halfway, but I'm not sure I can go any higher than that.",95.0,Bob,4,,
,,Alice,4,RejectOffer,100.0
"I appreciate your willingness to meet me halfway, but I'm still not willing to go as low as $95. I'm willing to make one final offer of $100, which is the minimum I'm willing to accept. If you're not willing to meet me at this price, I'll have to consider other options.",100.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your flexibility, but I'm still not willing to pay $100. I'd like to make a final counteroffer of $90. This is the highest price I'm willing to pay for the product.",90.0,Bob,6,,
,,Alice,6,SellToJhon,
