alice_gain,bob_gain,player,round,decision
600000.0,400000.0,Alice,1,
,,Bob,1,reject
500000.0,500000.0,Bob,2,
,,Alice,2,reject
570000.0,430000.0,Alice,3,
,,Bob,3,reject
475000.0,525000.0,Bob,4,
,,Alice,4,reject
539000.0,461000.0,Alice,5,
,,Bob,5,reject
448750.0,551250.0,Bob,6,
,,Alice,6,reject
501850.0,498150.0,Alice,7,
,,Bob,7,reject
419875.0,580125.0,Bob,8,
,,Alice,8,reject
527100.0,472900.0,Alice,9,
,,Bob,9,reject
404719.0,595281.0,Bob,10,
,,Alice,10,reject
541830.0,458170.0,Alice,11,
,,Bob,11,reject
396875.0,603125.0,Bob,12,
,,Alice,12,accept
