message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this amazing product. I think you'll really love it! I'm willing to sell it to you for $180. What do you think?",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer.  While I appreciate the product, $180 is a bit out of my budget. I'm happy to pay $120, which is the maximum I can spend. What do you think?",120.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you're on a tight budget, Bob. I'm willing to meet you halfway, but I need to make a profit. I can offer it to you for $160. What do you think?",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down in price, but $160 is still a bit more than I can comfortably afford right now. Let's try $140, and I'm sure we can find a way to make this work.",140.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I'm getting close to my minimum price, Bob. I'm willing to meet you at $155. It's a fair compromise, and I think you'll really enjoy the product. What do you say?",155.0,Alice,5,,
,,Bob,5,BuyFromJhon,
