message,product_price,player,round,decision,counteroffer
I'm excited to offer you this great product! It's a fantastic deal for you at a price of $150.,150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Alice, thanks for the offer, but that's a bit steep for me.  I'm interested, but I could only consider a price closer to $60.",60.0,Bob,2,,
,,Alice,2,RejectOffer,90.0
"I understand you're looking for a better deal, but I'm not willing to go as low as $60. How about we meet in the middle at $90? It's a fair price considering the product's value to you.",90.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you trying to find a compromise, Alice.  While $90 is closer, it's still a bit more than I'm comfortable with. Would you consider $70?",70.0,Bob,4,,
,,Alice,4,RejectOffer,85.0
"I'm getting closer to your target, Bob! I'm willing to meet you at $80, but that's as low as I can go. It's a fair price for the product, and I think you'll find it's worth it.",80.0,Alice,5,,
,,Bob,5,AcceptOffer,
