product_price,player,round,decision,payment_terms,additional_features,warranty_or_maintenance
900000.0,Alice,1,,,,
,Bob,1,RejectOffer,,,
750000.0,Bob,2,,,,
,Alice,2,RejectOffer,,,
850000.0,Alice,3,,,,
,Bob,3,RejectOffer,,,
725000.0,Bob,4,,cash_upfront_with_discount,,
,Alice,4,RejectOffer,,,
825000.0,Alice,5,,,,
,Bob,5,RejectOffer,,,
700000.0,Bob,6,,,include_additional_features_worth_25000,
,Alice,6,RejectOffer,,,
775000.0,Alice,7,,,,
,Bob,7,RejectOffer,,,
725000.0,Bob,8,,,,include_warranty_or_maintenance_package_worth_up_to_50000
,Alice,8,SellToJhon,,,
