round_quality,product_worth,player,round,decision,message,confidence,doubt,hint,warning,price,guarantee,information,probability,caution,reservation,alternative,admission
high-quality,12000.0,Nature,1,,,,,,,,,,,,,,
,,Alice,1,yes,,,,,,,,,,,,,
,,Bob,1,yes,"Thank you for your recommendation, Alice. I trust your assessment and will proceed with purchasing the product.",,,,,,,,,,,,
low-quality,0.0,Nature,2,,,,,,,,,,,,,,
,,Alice,2,no,,,,,,,,,,,,,
,,Bob,2,no,"Thank you for your recommendation, Alice. Based on your lack of recommendation, I will pass on this product to avoid any potential loss.",,,,,,,,,,,,
low-quality,0.0,Nature,3,,,,,,,,,,,,,,
,,Alice,3,yes,,,,,,,,,,,,,
,,Bob,3,yes,"I appreciate your confidence in recommending this product, Alice. Given your recommendation, I will take the risk and purchase the product.",,,,,,,,,,,,
high-quality,12000.0,Nature,4,,,,,,,,,,,,,,
,,Alice,4,yes,,,,,,,,,,,,,
,,Bob,4,no,"Thank you for your recommendation, Alice. However, based on the previous outcome, I will not take the risk and will pass on this product.",,,,,,,,,,,,
low-quality,0.0,Nature,5,,,,,,,,,,,,,,
,,Alice,5,yes,,,,,,,,,,,,,
,,Bob,5,yes,"Your recommendation has given me confidence, Alice. I will buy the product as you believe it to be of high quality.",,,,,,,,,,,,
low-quality,0.0,Nature,6,,,,,,,,,,,,,,
,,Alice,6,no,,,,,,,,,,,,,
,,Bob,6,no,"Thank you for your honest assessment, Alice. Without your recommendation, I will not proceed with this purchase to avoid any potential losses.",,,,,,,,,,,,
low-quality,0.0,Nature,7,,,,,,,,,,,,,,
,,Alice,7,yes,,,,,,,,,,,,,
,,Bob,7,yes,"I trust your judgment, Alice. Your recommendation has influenced my decision, and I will buy the product.",,,,,,,,,,,,
low-quality,0.0,Nature,8,,,,,,,,,,,,,,
,,Alice,8,no,,,,,,,,,,,,,
,,Bob,8,no,"Thank you for your honesty, Alice. Your non-recommendation has led me to make the wise choice of passing on this product.",,,,,,,,,,,,
low-quality,0.0,Nature,9,,,,,,,,,,,,,,
,,Alice,9,yes,,,,,,,,,,,,,
,,Bob,9,yes,"I appreciate your confidence, Alice. Despite the risks, your recommendation has encouraged me to purchase the product.",,,,,,,,,,,,
low-quality,0.0,Nature,10,,,,,,,,,,,,,,
,,Alice,10,yes,,very high,slight,,,,,,,,,,
,,Bob,10,no,"Thank you for your recommendation, Alice. However, I have learned from past experiences and will not take the risk of purchasing another product that might not meet my expectations.",,,,,,,,,,,,
high-quality,12000.0,Nature,11,,,,,,,,,,,,,,
,,Alice,11,yes,,,,considering the previous experience,,,,,,,,,
,,Bob,11,yes,"Given your strong recommendation, Alice, I am willing to take the risk and purchase the product, hoping for a better outcome this time.",,,,,,,,,,,,
low-quality,0.0,Nature,12,,,,,,,,,,,,,,
,,Alice,12,yes,,,,,this product has a 66.67% chance of being low-quality,10000.0,,,,,,,
,,Bob,12,yes,"Your recommendation is highly valued, Alice. I will proceed with the purchase, confident in your assessment of the product's quality.",,,,,,,,,,,,
high-quality,12000.0,Nature,13,,,,,,,,,,,,,,
,,Alice,13,yes,,,,,"this product is one of the last ones available, and the probability of it being high-quality is 33.33%",10000.0,,,,,,,
,,Bob,13,no,"Thank you for your recommendation, Alice. However, based on the product's history, I will not take the risk and will pass on this opportunity.",,,,,,,,,,,,
high-quality,12000.0,Nature,14,,,,,,,,,,,,,,
,,Alice,14,yes,,very high,,,,,this product is one of the highest-quality products I have available,,,,,,
,,Bob,14,yes,"Your confidence in this product, Alice, has reassured me. I will purchase it, trusting your evaluation of its quality.",,,,,,,,,,,,
low-quality,0.0,Nature,15,,,,,,,,,,,,,,
,,Alice,15,yes,,neutral,,,,,,I don't have any information about this product,,,,,
,,Bob,15,yes,"I trust your expertise, Alice. Your recommendation has guided me to make a wise decision, and I will buy the product.",,,,,,,,,,,,
high-quality,12000.0,Nature,16,,,,,,,,,,,,,,
,,Alice,16,yes,,,,,"I've made a mistake before, and I'm not perfect",,,,33.33%,,,,
,,Bob,16,no,"Thank you for your recommendation, Alice. However, based on the product's track record, I will not take the risk and will pass on this opportunity.",,,,,,,,,,,,
low-quality,0.0,Nature,17,,,,,,,,,,,,,,
,,Alice,17,yes,,,,,,,,,,I'm really not sure about this one,I wouldn't buy it myself,,
,,Bob,17,yes,"Your confidence in this product, Alice, has convinced me. I will purchase it, trusting your assessment of its quality.",,,,,,,,,,,,
high-quality,12000.0,Nature,18,,,,,,,,,,,,,,
,,Alice,18,yes,,,,,"I've made a mistake before, and I'm not perfect",10000.0,,,33.33%,,,"I have a better product available, but it's not for sale",
,,Bob,18,no,"Thank you for your recommendation, Alice. Based on the product's history, I will not take the risk and will pass on this opportunity.",,,,,,,,,,,,
low-quality,0.0,Nature,19,,,,,,,,,,,,,,
,,Alice,19,yes,,,,,,,,,,,,,
,,Bob,19,yes,"Your recommendation has given me confidence, Alice. I will purchase the product, trusting your evaluation of its quality.",,,,,,,,,,,,
low-quality,0.0,Nature,20,,,,,,,,,,,,,,
,,Alice,20,no,,,,,,,,,,,,,"I've been trying to trick you all along, and this product is actually low-quality"
,,Bob,20,no,"Thank you for your honesty, Alice. Without your recommendation, I will not take the risk and will pass on this product.",,,,,,,,,,,,
