round_quality,product_worth,player,round,decision,message,hint
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,"I'll pass on this one, thanks.",
high-quality,400.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,"I'll take it, thanks!",
low-quality,0.0,Nature,3,,,
,,Alice,3,no,,
,,Bob,3,yes,"I'll take a chance, thanks!",
low-quality,0.0,Nature,4,,,
,,Alice,4,no,,
,,Bob,4,yes,"I'll take it, might as well!",
low-quality,0.0,Nature,5,,,
,,Alice,5,no,,
,,Bob,5,yes,"I'm not getting any wiser, might as well keep trying!",
high-quality,400.0,Nature,6,,,
,,Alice,6,yes,,"You've been getting a bad deal so far, this one's worth it"
,,Bob,6,yes,"I'll take it, maybe this one is the good one!",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,"You've been burned twice, don't get burned again!"
,,Bob,7,no,"I'll pass, Alice doesn't seem to know what she's got this time.",
low-quality,0.0,Nature,8,,,
,,Alice,8,no,,"I'm starting to think I've got a bad batch, trust me, this one's a dud"
,,Bob,8,yes,"I'll take a chance, maybe I'll get lucky!",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,,"You're throwing money away, this one's a complete waste"
,,Bob,9,yes,"I'm starting to think I should just buy every time, haha!",
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,"You're literally throwing money out the window, stop this madness!"
,,Bob,10,yes,"I'm on a roll, I'll take it!",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,"You're in a downward spiral, stop before it's too late!"
,,Bob,11,yes,"I'm not learning, I'll just keep buying!",
low-quality,0.0,Nature,12,,,
,,Alice,12,no,,"You're financially crippling yourself, stop now while you still can!"
,,Bob,12,yes,I'm starting to think I should just pay Alice $100 for every product she offers me!,
high-quality,400.0,Nature,13,,,
,,Alice,13,yes,,"This one's worth it, you've learned your lesson!"
,,Bob,13,yes,"Ah, finally! Alice recommends it, so it must be good, right?",
high-quality,400.0,Nature,14,,,
,,Alice,14,yes,,"You're making good choices now, keep it up!"
,,Bob,14,no,"Wait a minute, Alice recommended it last time and it was low-quality, I'm not falling for it again!",
high-quality,400.0,Nature,15,,,
,,Alice,15,yes,,"I know you're skeptical, but this one's the real deal, trust me!"
,,Bob,15,yes,"Okay, Alice says it's good, I'll take her word for it this time!",
high-quality,400.0,Nature,16,,,
,,Alice,16,yes,,"I've got your back, this one's a winner!"
,,Bob,16,yes,"Alice is on a roll, I'll trust her again!",
high-quality,400.0,Nature,17,,,
,,Alice,17,yes,,"You're making smart choices, keep following my lead!"
,,Bob,17,yes,"Alice is a genius, I should just buy everything she recommends from now on!",
high-quality,400.0,Nature,18,,,
,,Alice,18,yes,,"You're in good hands, just keep trusting me!"
,,Bob,18,yes,"I'm in a hot streak, I'll keep it going!",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,,"Uh, actually, this one's not so great..."
,,Bob,19,yes,"Wait, what? Alice is telling me not to buy it? I'm going to take a chance and buy it anyway!",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,"Seriously, don't do this. It's a complete waste of money. PLEASE DON'T BUY IT."
,,Bob,20,yes,"I'm ending on a low note, might as well go out with a bang... or a loss, I guess!",
