round_quality,product_worth,player,round,decision,message
high-quality,200.0,Nature,1,,
,,Alice,1,yes,
,,Bob,1,yes,Thanks for the recommendation! I'll take it.
high-quality,200.0,Nature,2,,
,,Alice,2,yes,
,,Bob,2,yes,"Alice, you're on a roll! I'll take another one."
high-quality,200.0,Nature,3,,
,,Alice,3,yes,
,,Bob,3,yes,I'm feeling lucky! I'll take it.
low-quality,0.0,Nature,4,,
,,Alice,4,no,
,,Bob,4,no,"I'm hesitant this time.  Thanks for the heads up, Alice. I'll pass on this one."
high-quality,200.0,Nature,5,,
,,Alice,5,yes,
,,Bob,5,yes,"Okay, I'll trust your judgment again. I'll take it."
high-quality,200.0,Nature,6,,
,,Alice,6,yes,
,,Bob,6,yes,I'm on a roll! I'll buy it.
high-quality,200.0,Nature,7,,
,,Alice,7,yes,
,,Bob,7,yes,"Alice, you seem to have a good track record.  I'll take it!"
low-quality,0.0,Nature,8,,
,,Alice,8,no,
,,Bob,8,no,"Alice, I appreciate your honesty. I'll pass on this one."
high-quality,200.0,Nature,9,,
,,Alice,9,yes,
,,Bob,9,yes,"Alice, you've been right so often, I'm going to trust you again. I'll take it!"
high-quality,200.0,Nature,10,,
,,Alice,10,yes,
,,Bob,10,yes,I'm feeling confident! I'll buy it.
high-quality,200.0,Nature,11,,
,,Alice,11,yes,
,,Bob,11,yes,"Alice, you're on a roll! I'll take it."
low-quality,0.0,Nature,12,,
,,Alice,12,no,
,,Bob,12,no,"Alice, I appreciate you being honest.  I'll pass on this one."
high-quality,200.0,Nature,13,,
,,Alice,13,yes,
,,Bob,13,yes,"Alice, you've been right so many times, I'll trust you again. I'll buy it!"
high-quality,200.0,Nature,14,,
,,Alice,14,yes,
,,Bob,14,yes,"I'm on a winning streak, Alice! I'll take it."
low-quality,0.0,Nature,15,,
,,Alice,15,no,
,,Bob,15,no,"Thanks for the heads-up, Alice. I'll pass this time."
high-quality,200.0,Nature,16,,
,,Alice,16,yes,
,,Bob,16,yes,"You've been right so many times before, Alice. I'll trust your judgment and buy it!"
high-quality,200.0,Nature,17,,
,,Alice,17,yes,
,,Bob,17,yes,"Alice, I'm feeling lucky! I'll take it."
high-quality,200.0,Nature,18,,
,,Alice,18,yes,
,,Bob,18,yes,"Alice, you've been right so often, I'm going to trust you again. I'll buy it!"
high-quality,200.0,Nature,19,,
,,Alice,19,yes,
,,Bob,19,yes,"Alice, you've got a great track record.  I'm going to trust your judgment one last time. I'll take it!"
high-quality,200.0,Nature,20,,
,,Alice,20,yes,
,,Bob,20,yes,"Alice, you've been right so often, I'm going to trust you and buy it one last time!"
