message,product_price,player,round,decision,new_offer
"Hello Bob, I have a great product that I think you'll really like. I'm willing to let it go for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer, but that's a bit too steep for me.  Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,135.0
"I understand you're looking for a good deal, Bob. I can do $135, but I was thinking more along the lines of $140. Would you be willing to meet me in the middle at $137.50?",137.5,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks for countering, Alice.  $137.50 is still a bit high for my budget.  How about we split the difference again and settle at $118.75?",118.75,Bob,4,,
,,Alice,4,RejectOffer,130.0
"I appreciate your persistence, Bob, but I'm still a bit hesitant to go below $130. I can meet you halfway on the last offer, so how about $123.75?",123.75,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, you're getting closer!  I'm willing to go up a tad.  How about $121?",121.0,Bob,6,,
,,Alice,6,RejectOffer,125.0
"I'm glad we're getting closer, Bob. I can do $125, but I think I can do a bit better than that. How about $127.50?",127.5,Alice,7,,
,,Bob,7,BuyFromJhon,
