message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to offer you this amazing product for sale. I think you'll really love it. Would you like to make an offer for it?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $90. Can you meet me halfway?",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I appreciate your interest in the product, Bob! I can do $110, but I'm not sure I can go any lower than that. What do you think?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I'm still a bit hesitant, but I'm willing to meet you in the middle. How about $105?",105.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I see you're willing to meet me in the middle, Bob! I can do $105, but I'm thinking I can get a bit more out of it. How about $115?",115.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm getting close, but I'm still not comfortable with $115. Can you try to meet me at $100?",100.0,Bob,6,,
,,Alice,6,SellToJhon,
