message,product_price,player,round,decision,newOffer
"Hello Bob, I'm excited to offer you this great product for $100. It's a fantastic deal, and I'm confident you'll love it!",100.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer, but $100 is a bit too high for me.  Would you consider $65?",65.0,Bob,2,,
,,Alice,2,RejectOffer,90.0
"Thanks for the counteroffer, Bob! I can do $90, but I was thinking more along the lines of $92. Would you be willing to meet me in the middle at $91?",91.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice.  How about $75? That's a fair price.",75.0,Bob,4,,
,,Alice,4,RejectOffer,85.0
"I'm glad we're getting closer, Bob! I can do $85, but I think I can do a bit better than that. How about $87?",87.0,Alice,5,,
,,Bob,5,BuyFromJhon,
