alice_gain,bob_gain,player,round,decision
600000.0,400000.0,Alice,1,
,,Bob,1,reject
580000.0,420000.0,Bob,2,
,,Alice,2,reject
590000.0,410000.0,Alice,3,
,,Bob,3,reject
568000.0,432000.0,Bob,4,
,,Alice,4,reject
580000.0,420000.0,Alice,5,
,,Bob,5,reject
554800.0,445200.0,Bob,6,
,,Alice,6,reject
570000.0,430000.0,Alice,7,
,,Bob,7,reject
539840.0,460160.0,Bob,8,
,,Alice,8,reject
580000.0,420000.0,Alice,9,
,,Bob,9,reject
523520.0,476480.0,Bob,10,
,,Alice,10,reject
570000.0,430000.0,Alice,11,
,,Bob,11,reject
506160.0,493840.0,Bob,12,
,,Alice,12,accept
