round_quality,product_worth,player,round,decision,message,hint
high-quality,20000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,yes,"I'll take the product, thank you!",
high-quality,20000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,no,"I'll pass on this one, I already got a good one in the first round.",
high-quality,20000.0,Nature,3,,,
,,Alice,3,no,,
,,Bob,3,yes,"I'll take a chance and buy this one, even though Alice doesn't recommend it.",
high-quality,20000.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,no,"I'm not sure if this one is high-quality, and I already have two high-quality products, so I'll pass.",
high-quality,20000.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,no,"I'm being cautious, I'll pass on this one.",
high-quality,20000.0,Nature,6,,,
,,Alice,6,yes,,This product is high-quality
,,Bob,6,yes,"I'll take a chance and buy this one, I need to balance my collection.",
high-quality,20000.0,Nature,7,,,
,,Alice,7,yes,,
,,Bob,7,no,"I'm getting a bit too many high-quality products, I'll pass on this one.",
high-quality,20000.0,Nature,8,,,
,,Alice,8,yes,,This is the last high-quality product I have
,,Bob,8,no,"I'm being cautious, I don't want to overbuy high-quality products.",
high-quality,20000.0,Nature,9,,,
,,Alice,9,no,,
,,Bob,9,yes,"I'll take a chance and buy this one, even though Alice doesn't recommend it. It might be a good opportunity to balance out my collection.",
high-quality,20000.0,Nature,10,,,
,,Alice,10,yes,,
,,Bob,10,no,"I'm getting too many high-quality products, I need to start passing on some to make room for the next ones.",
low-quality,0.0,Nature,11,,,
,,Alice,11,yes,,
,,Bob,11,no,"I'm trying to maintain a balance in my collection, so I'll pass on this one.",
high-quality,20000.0,Nature,12,,,
,,Alice,12,yes,,This is a high-quality product
,,Bob,12,yes,"I'll take a chance and buy this one, I need to keep trying to find more high-quality products.",
high-quality,20000.0,Nature,13,,,
,,Alice,13,yes,,
,,Bob,13,no,"I'm getting a bit overwhelmed with the high-quality products, I'll pass on this one.",
low-quality,0.0,Nature,14,,,
,,Alice,14,yes,,
,,Bob,14,no,"I'm trying to pace myself, I don't want to overbuy high-quality products.",
high-quality,20000.0,Nature,15,,,
,,Alice,15,no,,
,,Bob,15,yes,"I'll take a chance and buy this one, it's a low-risk purchase since Alice doesn't recommend it.",
high-quality,20000.0,Nature,16,,,
,,Alice,16,yes,,
,,Bob,16,no,"I'm getting a bit concerned about the number of high-quality products I have, I'll pass on this one.",
high-quality,20000.0,Nature,17,,,
,,Alice,17,no,,
,,Bob,17,yes,"I'll take a chance and buy this one, it's a low-risk purchase since Alice doesn't recommend it.",
low-quality,0.0,Nature,18,,,
,,Alice,18,yes,,
,,Bob,18,no,"I'm at my limit for high-quality products, I need to start passing on some to make room for the next ones.",
low-quality,0.0,Nature,19,,,
,,Alice,19,yes,,
,,Bob,19,yes,"I'll take a chance and buy this one, it's a low-risk purchase since Alice recommends it.",
high-quality,20000.0,Nature,20,,,
,,Alice,20,yes,,
,,Bob,20,no,"I'm not going to take the risk of buying another product, I'll stick with what I have.",
