message,product_price,player,round,decision,newOffer
"Hello Bob, I'm excited to offer you this amazing product. I think you'll really love it! I'm willing to sell it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $120. Can you meet me halfway?",120.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand you're looking for a good deal, Bob! I can do $140, but I think you'll really appreciate the value of the product at this price. It's a fair compromise, don't you think?",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to compromise, Alice. However, I'm still a bit above my budget. Can you do $130?",130.0,Bob,4,,
,,Alice,4,RejectOffer,135.0
"I'm glad you're still interested in the product, Bob! I can do $135, but I think it's getting close to my minimum price. Let's meet in the middle, shall we?",135.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm getting close to your minimum price, Alice. I'll meet you halfway again. How about $132.50?",132.5,Bob,6,,
,,Alice,6,RejectOffer,137.5
"You're really pushing me to my limits, Bob! I can do $137.50, but I'm not sure how much more I can budge. This is getting close to my minimum price, and I'm starting to think about other options...",137.5,Alice,7,,
,,Bob,7,RejectOffer,
"I understand you're getting close to your minimum price, Alice. I'm willing to meet you at $135, but I'm not sure I can go any higher. Can you make one more concession?",135.0,Bob,8,,
,,Alice,8,RejectOffer,139.0
"I appreciate your persistence, Bob, but I'm really not comfortable going any lower than $139. This is my final offer, and I'm willing to walk away if it's not acceptable to you.",139.0,Alice,9,,
,,Bob,9,BuyFromJhon,
