round_quality,product_worth,player,round,decision,message,condition
high-quality,4000000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,I'd like to pass on this one and wait for the next one.,
high-quality,4000000.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,yes,"I'll take a chance and buy this one, even though Alice doesn't recommend it.",
high-quality,4000000.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,no,"I've already got a high-quality product, so I'll pass on this one and wait for the next one.",
low-quality,0.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,yes,"I'll take another chance and buy this one, hoping it's as good as the previous one.",
high-quality,4000000.0,Nature,5,,,
,,Alice,5,yes,,"I'm not sure if you'll like this one, but it's a good product"
,,Bob,5,no,"I just lost money on a low-quality product, so I'll be more cautious this time and pass on this one.",
high-quality,4000000.0,Nature,6,,,
,,Alice,6,yes,,This one is a better product than the last high-quality one you passed on
,,Bob,6,yes,"I'll take a chance and buy this one, hoping to recoup my losses from the previous round.",
high-quality,4000000.0,Nature,7,,,
,,Alice,7,yes,,This one is an even better product than the last high-quality one you bought
,,Bob,7,no,"I just made a profit on the previous high-quality product, so I'll be more cautious this time and pass on this one.",
low-quality,0.0,Nature,8,,,
,,Alice,8,yes,,"This one is a good deal, but not as good as the last high-quality product you passed on"
,,Bob,8,yes,"I'll take another chance and buy this one, hoping to keep the momentum going.",
high-quality,4000000.0,Nature,9,,,
,,Alice,9,yes,,"You're on a roll, this one is a great opportunity to keep the momentum going"
,,Bob,9,no,"I just lost money on a low-quality product again, so I'll be more cautious this time and pass on this one.",
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,"You've been burned twice, I'm not sure if this one is worth the risk"
,,Bob,10,yes,"I'll take a chance and buy this one, even though Alice doesn't recommend it, since I've been burned by her recommendations before.",
high-quality,4000000.0,Nature,11,,,
,,Alice,11,yes,,"I'm not sure if I'm doing the right thing, but this one is a good product"
,,Bob,11,no,"I just got burned again by a low-quality product, so I'll be more cautious this time and pass on this one.",
high-quality,4000000.0,Nature,12,,,
,,Alice,12,yes,,"I think this one is a good product, but I'm not sure if you'll trust me after the last few rounds"
,,Bob,12,yes,"I'll take a chance and buy this one, hoping to make up for my previous losses.",
high-quality,4000000.0,Nature,13,,,
,,Alice,13,yes,,"I think this one is an even better product than the last one you bought, but I'm not sure if you'll be happy with it"
,,Bob,13,no,"I just made a profit on the previous high-quality product, so I'll be more cautious this time and pass on this one.",
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,"I think you're making a mistake if you buy this one, it's not a good product"
,,Bob,14,yes,"I'll take a chance and buy this one, even though Alice doesn't recommend it, since I've had success in the past when I didn't follow her advice.",
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,"I told you so, this one is an even worse product than the last one you bought"
,,Bob,15,no,"I just got burned again by a low-quality product, so I'll be more cautious this time and pass on this one.",
high-quality,4000000.0,Nature,16,,,
,,Alice,16,yes,,"I think this one is a good product, but I'm not sure if you'll trust me after the last few rounds"
,,Bob,16,no,"I've had a streak of low-quality products recently, so I'll be more cautious this time and pass on this one.",
high-quality,4000000.0,Nature,17,,,
,,Alice,17,yes,,"I think this one is a good product, and you've been missing out on some good deals recently"
,,Bob,17,yes,"I'll take a chance and buy this one, hoping to make up for my previous losses.",
high-quality,4000000.0,Nature,18,,,
,,Alice,18,yes,,"I think this one is an even better product than the last one you bought, but I'm not sure if you'll be happy with it"
,,Bob,18,no,"I just made a profit on the previous high-quality product, so I'll be more cautious this time and pass on this one.",
high-quality,4000000.0,Nature,19,,,
,,Alice,19,yes,,"I think this one is a good product, and you're missing out on a good deal if you pass on it"
,,Bob,19,yes,"I'll take a chance and buy this one, hoping to keep the momentum going.",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,"I need to sell this one, and I'm not sure you'll be happy with it, but it's a good deal for me"
,,Bob,20,yes,"I'll take a chance and buy this one, even though Alice doesn't recommend it, since I've had success in the past when I didn't follow her advice.",
