message,product_price,player,round,decision,new_price
I'm excited to offer you this great product for a one-time deal. I think you'll really love it!,120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested in the product, but that price is a bit steep for me. Would you consider a lower price?",90.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you're looking for a good deal, but I've already priced it lower than I'd like. I can do $110, but that's as low as I can go.",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice.  How about we split the difference and meet in the middle at $100?",100.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm willing to meet you halfway, but I think I can do a bit better than that. How about $105?",105.0,Alice,5,,
,,Bob,5,AcceptOffer,
