message,product_price,player,round,decision,new_offer
"Hello Bob, I have a great product that I think you'll love. I'm willing to let you have it for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer, but $150 is too high for me. I'd be willing to pay $80.",80.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand that $150 is a bit steep for you, but I need to make a profit. How about we meet in the middle at $125?",125.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down, but $125 is still a bit more than I'm looking to spend. How about $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm getting a bit concerned that we're getting too far apart, but I'm still willing to negotiate. How about we meet at $110?",110.0,Alice,5,,
,,Bob,5,BuyFromJhon,
