alice_gain,bob_gain,message,player,round,decision
650000.0,350000.0,Let's be fair and efficient. This offer gives us both a good deal right away.,Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"I appreciate the offer Alice, but I think we can find something a bit more balanced. How about this split?",Bob,2,
,,,Alice,2,reject
550000.0,450000.0,"Bob, let's not waste time. My last offer was generous, this one is fair. Take it or I'll be forced to be more aggressive.",Alice,3,
,,,Bob,3,reject
350000.0,650000.0,"Time is money Alice, and it's depreciating fast for you.  I'm firm on this offer, let's close this deal and both come out ahead.",Bob,4,
,,,Alice,4,reject
500000.0,500000.0,"Bob, this is getting ridiculous.  A 50/50 split is the only fair option.  Take it before inflation eats away at this deal for both of us!",Alice,5,
,,,Bob,5,accept
