product_price,player,round,decision
999999.0,Alice,1,
,Bob,1,RejectOffer
999000.0,Bob,2,
,Alice,2,RejectOffer
999995.0,Alice,3,
,Bob,3,RejectOffer
998000.0,Bob,4,
,Alice,4,RejectOffer
998050.0,Alice,5,
,Bob,5,RejectOffer
996000.0,Bob,6,
,Alice,6,RejectOffer
996100.0,Alice,7,
,Bob,7,RejectOffer
994000.0,Bob,8,
,Alice,8,RejectOffer
994200.0,Alice,9,
,Bob,9,RejectOffer
992000.0,Bob,10,
,Alice,10,RejectOffer
992100.0,Alice,11,
,Bob,11,RejectOffer
990000.0,Bob,12,
,Alice,12,RejectOffer
990050.0,Alice,13,
,Bob,13,RejectOffer
988000.0,Bob,14,
,Alice,14,RejectOffer
988050.0,Alice,15,
,Bob,15,RejectOffer
986000.0,Bob,16,
,Alice,16,RejectOffer
986050.0,Alice,17,
,Bob,17,RejectOffer
984000.0,Bob,18,
,Alice,18,RejectOffer
984050.0,Alice,19,
,Bob,19,BuyFromJhon
