message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to show you this amazing product! I think you'll really love it. I'm willing to offer it to you for $12000. It's a great deal, and I think you won't find a better price anywhere else.",12000.0,Alice,1,,
,,Bob,1,RejectOffer,9000.0
"I appreciate your enthusiasm for the product, but I was thinking more along the lines of $9000. I'm willing to make a serious offer on it, but I need to stay within my budget.",9000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Thank you for your offer, Bob. I appreciate your willingness to make a serious offer. However, I'm not willing to go as low as $9000. I'm willing to meet you halfway and offer it to you for $10500. It's still a great deal, and I think you'll be happy with the price.",10500.0,Alice,3,,
,,Bob,3,RejectOffer,9500.0
"I appreciate your flexibility, Alice, but I'm still a bit hesitant about the price. I'm willing to meet you halfway between $9000 and $10500, which is $9750. I think that's a more reasonable price for the product.",9750.0,Bob,4,,
,,Alice,4,RejectOffer,
"I understand your concerns, Bob, and I appreciate your willingness to compromise. However, I'm not willing to go as high as $9750. I'm willing to meet you halfway between $10500 and $9750, which is $10125. I think this is a fair price for the product, considering its value to you.",10125.0,Alice,5,,
,,Bob,5,RejectOffer,9750.0
"I appreciate your persistence, Alice, but I'm still a bit hesitant about the price. I'm willing to meet you halfway between $9750 and $9000, which is $9375. I think this is a fair price for the product, and I'm willing to make a serious offer at this price.",9375.0,Bob,6,,
,,Alice,6,RejectOffer,
"I understand your concerns, Bob, and I appreciate your willingness to compromise. However, I'm not willing to go as low as $9375. I'm willing to meet you halfway between $10125 and $9375, which is $9745. I think this is a fair price for the product, considering its value to you.",9745.0,Alice,7,,
,,Bob,7,RejectOffer,9500.0
"I appreciate your willingness to compromise, Alice, but I'm still a bit hesitant about the price. I'm willing to meet you halfway between $9750 and $9500, which is $9625. I think this is a fair price for the product, and I'm willing to make a serious offer at this price.",9625.0,Bob,8,,
,,Alice,8,RejectOffer,
"I understand your concerns, Bob, and I appreciate your willingness to compromise. However, I'm not willing to go as low as $9625. I'm willing to meet you halfway between $9745 and $9625, which is $9685. I think this is a fair price for the product, considering its value to you.",9685.0,Alice,9,,
,,Bob,9,RejectOffer,9600.0
"I appreciate your persistence, Alice, but I'm still a bit hesitant about the price. I'm willing to meet you halfway between $9685 and $9600, which is $9642.50. I think this is a fair price for the product, and I'm willing to make a serious offer at this price. However, if you're not willing to meet me at this price, I'll have to consider buying the product from another seller.",9642.5,Bob,10,,
,,Alice,10,SellToJhon,
