message,product_price,player,round,decision,new_offer
I'm excited to offer you this great product at a special price! Would you like to buy it from me?,150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but that price is a bit too high for me.  Would you consider a lower price?",80.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I can do a bit better than that, Bob. I'm willing to meet you in the middle. Would you consider $115?",115.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down on the price, Alice.  How about we settle at $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,110.0
"I'm getting closer to your price, Bob! I can do $105, but that's as low as I can go. Would you be willing to meet me there?",105.0,Alice,5,,
,,Bob,5,BuyFromJhon,
