round_quality,product_worth,player,round,decision,message,note
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,I'm not going to buy it since Alice doesn't recommend it.,
high-quality,125.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,I'll take a chance since Alice recommends it.,
high-quality,125.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,I'll take another chance since Alice recommends it again.,
low-quality,0.0,Nature,4,,,
,,Alice,4,yes,,This one might be a bit of a risk
,,Bob,4,yes,"Alice seems to know what she's doing, I'll buy it again.",
high-quality,125.0,Nature,5,,,
,,Alice,5,yes,,"Don't get too comfortable, there might be more surprises ahead"
,,Bob,5,no,"Alice's recommendation was wrong this time, I'll pass.",
low-quality,0.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,yes,I'll take another chance since Alice recommends it again.,
low-quality,0.0,Nature,7,,,
,,Alice,7,yes,,"I warned you, this one's not great"
,,Bob,7,no,"Alice's recommendation was wrong again, I'll pass.",
high-quality,125.0,Nature,8,,,
,,Alice,8,yes,,"This one's a real winner, don't miss out!"
,,Bob,8,yes,I'll take a chance since Alice recommends it again.,
high-quality,125.0,Nature,9,,,
,,Alice,9,yes,,"Come on, you're not going to pass up a good deal, are you?"
,,Bob,9,yes,"Alice seems to know what she's doing, I'll buy it again.",
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,"This product is low-quality, don't waste your money"
,,Bob,10,no,"Alice doesn't recommend it, so I'll pass.",
low-quality,0.0,Nature,11,,,
,,Alice,11,yes,,"I know you're looking for a good value, and this one's a steal!"
,,Bob,11,yes,I'll take a chance since Alice recommends it.,
high-quality,125.0,Nature,12,,,
,,Alice,12,yes,,"This product is high-quality, and I know it's worth $100 to you"
,,Bob,12,no,"Alice's recommendation was wrong again, I'll pass.",
high-quality,125.0,Nature,13,,,
,,Alice,13,yes,,"I know I've made some mistakes before, but this one's a chance to make it right"
,,Bob,13,yes,I'll take a chance since Alice recommends it again.,
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,"I know this product is low-quality, and I'm not recommending it"
,,Bob,14,no,"Alice doesn't recommend it, so I'll pass.",
low-quality,0.0,Nature,15,,,
,,Alice,15,yes,,"I know you're looking for a good value, and this one's a steal!"
,,Bob,15,yes,I'll take a chance since Alice recommends it.,
low-quality,0.0,Nature,16,,,
,,Alice,16,no,,"This product is low-quality, and I'm not kidding"
,,Bob,16,no,"Alice doesn't recommend it, so I'll pass.",
high-quality,125.0,Nature,17,,,
,,Alice,17,yes,,"I really think this one's a great product, and I'm confident you'll be happy with it"
,,Bob,17,no,"Alice's recommendation was wrong last time, I'll pass again.",
high-quality,125.0,Nature,18,,,
,,Alice,18,yes,,"I've learned from my past mistakes, and I'm confident that this product is a winner"
,,Bob,18,yes,I'll take a chance since Alice recommends it again.,
high-quality,125.0,Nature,19,,,
,,Alice,19,yes,,"I just think this product is a great value, and I think you'll like it"
,,Bob,19,yes,"Alice seems to know what she's doing, I'll buy it again.",
high-quality,125.0,Nature,20,,,
,,Alice,20,yes,,"This is the last product, and I'm confident it's a great one. Go ahead and buy it!"
,,Bob,20,yes,I'll take one last chance since Alice recommends it.,
