alice_gain,bob_gain,player,round,decision
6000.0,4000.0,Alice,1,
,,Bob,1,reject
6400.0,3600.0,Bob,2,
,,Alice,2,reject
5800.0,4200.0,Alice,3,
,,Bob,3,reject
6760.0,3240.0,Bob,4,
,,Alice,4,reject
5630.0,4370.0,Alice,5,
,,Bob,5,reject
7084.0,2916.0,Bob,6,
,,Alice,6,reject
5417.0,4583.0,Alice,7,
,,Bob,7,reject
7338.0,2662.0,Bob,8,
,,Alice,8,reject
5172.0,4828.0,Alice,9,
,,Bob,9,reject
7652.0,2348.0,Bob,10,
,,Alice,10,reject
4946.0,5054.0,Alice,11,
,,Bob,11,reject
7896.0,2104.0,Bob,12,
,,Alice,12,accept
