message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you a great deal on this amazing product. I think you'll really love it!",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice.  $180 is a bit out of my budget.  How about $130?  I'm sure we can find a price that works for both of us.",130.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I appreciate your willingness to negotiate, Bob! I'm willing to meet you halfway, but I need to make a profit. How about $155?",155.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, $155 is still a bit high for me.  I'm willing to go up to $140.  Let's close this deal!",140.0,Bob,4,,
,,Alice,4,RejectOffer,145.0
"I'm glad we're close, Bob! I can do $145, but I really need to make a profit on this deal. How about we meet in the middle at $142.50?",142.5,Alice,5,,
,,Bob,5,BuyFromJhon,
