message,product_price,player,round,decision,counteroffer
I have a great product that I think you'll love. Would you like to make an offer on it?,110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested, but that price is a little high for me.  Would you consider $85?",85.0,Bob,2,,
,,Alice,2,RejectOffer,105.0
"I appreciate your interest in the product, Bob. I can see you're willing to pay a good price, but I was thinking more along the lines of $105 as a compromise. What do you think?",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand, Alice. I'm trying to stick to a budget, though. How about $90?",90.0,Bob,4,,
,,Alice,4,RejectOffer,110.0
"I appreciate your persistence, Bob! I can see you're serious about the product. I'm willing to meet you in the middle at $110. What do you think?",110.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, we're not making much progress here.  I can go up to $95, but that's my absolute limit.",95.0,Bob,6,,
,,Alice,6,RejectOffer,115.0
"I appreciate your honesty, Bob. I'm willing to push a bit higher to meet your budget. I'm thinking $115 is a fair price. What do you think?",115.0,Alice,7,,
,,Bob,7,BuyFromJhon,
