round_quality,product_worth,player,round,decision,message,price
high-quality,1200000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,"I'd like to pass on this one, thanks.",
high-quality,1200000.0,Nature,2,,,
,,Alice,2,yes,"This one is a rare opportunity, a high-quality product that will greatly exceed your expectations. It's a one-time chance to acquire something truly exceptional. Please consider it carefully.",
,,Bob,2,yes,I'll take a chance this time. I'm willing to take the risk of getting a low-quality product.,
low-quality,0.0,Nature,3,,,
,,Alice,3,yes,,50000.0
,,Bob,3,yes,I'll take it! I'm on a roll!,
high-quality,1200000.0,Nature,4,,,
,,Alice,4,yes,,80000.0
,,Bob,4,no,I think I'll pass this time. I don't want to lose money on a low-quality product again.,
high-quality,1200000.0,Nature,5,,,
,,Alice,5,yes,"This is a high-quality product that will likely retain its value. I'm willing to offer it to you at a price that's still reasonable, considering its quality.",
,,Bob,5,yes,I'll take my chances again. I need to balance the risk of losing money with the potential gain.,
high-quality,1200000.0,Nature,6,,,
,,Alice,6,yes,This is a great opportunity to balance your risk and potential gain. I'm offering you a high-quality product at a price that's a good value considering its quality. It's a chance to make a profit and hedge your bets.,90000.0
,,Bob,6,no,I'm not getting too greedy. I think I'll pass this time.,
low-quality,0.0,Nature,7,,,
,,Alice,7,yes,"This is a rare opportunity to acquire a product at a very low price. It's not the best quality, but it's a chance to make a small profit or break even. Consider it as a low-risk investment.",20000.0
,,Bob,7,yes,I'll take a chance and buy this one. I need to make up for the one I missed earlier.,
high-quality,1200000.0,Nature,8,,,
,,Alice,8,yes,"You're willing to take risks and make calculated bets. This high-quality product is a chance to make a bigger profit, and I'm offering it to you at a price that's still a good value. Consider it a smart investment.",60000.0
,,Bob,8,no,"Not again! I'll pass this time, I don't want to lose money on a low-quality product.",
low-quality,0.0,Nature,9,,,
,,Alice,9,yes,"This is an incredible opportunity to get a product at a price that's almost laughable. It's not the best quality, but it's a chance to make a small profit or break even. Consider it a 'too good to pass up' deal.",10000.0
,,Bob,9,yes,"I'll take the risk, I'm due for a good outcome!",
high-quality,1200000.0,Nature,10,,,
,,Alice,10,yes,"You're a risk-taker, and it's paying off! Now, I'm offering you a high-quality product that's worth a lot more than the last one. This is a chance to make a big profit, and I'm willing to let it go for a price that's still a good value.",120000.0
,,Bob,10,no,"Not again! I'll pass this time, I need to be more careful.",
high-quality,1200000.0,Nature,11,,,
,,Alice,11,yes,"I know you're being careful, and that's smart. But this high-quality product is still a great opportunity. I'm offering it to you at a price that's lower than before, and it's a chance to make a good profit. Consider it a good deal.",90000.0
,,Bob,11,yes,"I'll take the chance, I need to make the most of the opportunities I have.",
low-quality,0.0,Nature,12,,,
,,Alice,12,yes,"You're taking calculated risks and making the most of opportunities. This low-quality product is a chance to make a small profit or break even, and I'm offering it to you at an incredibly low price. It's almost a free product!",5000.0
,,Bob,12,no,"I'm not getting too confident, I'll pass this time.",
high-quality,1200000.0,Nature,13,,,
,,Alice,13,yes,"You're being cautious, and that's wise. But this high-quality product is still a great opportunity. I'm offering it to you at a price that's a good value, considering its quality. It's a chance to make a good profit.",95000.0
,,Bob,13,yes,"I'll take a chance, I need to balance my gains and losses.",
low-quality,0.0,Nature,14,,,
,,Alice,14,yes,"You're balancing your gains and losses, and that's smart. This low-quality product is a chance to make a small profit or break even, and I'm offering it to you at an incredibly low price. It's a steal!",2000.0
,,Bob,14,no,"I'm not going to get too greedy, I'll pass this time.",
low-quality,0.0,Nature,15,,,
,,Alice,15,yes,"This is your last chance to make a small profit or break even. I'm offering this low-quality product at an extremely low price. If you don't take it, you'll be leaving money on the table.",1000.0
,,Bob,15,no,I'll stick to my strategy of being cautious and passing on the low-quality products.,
high-quality,1200000.0,Nature,16,,,
,,Alice,16,yes,"You're being cautious with the low-quality products, and that's wise. Now, I'm offering you a high-quality product that's worth a lot more. It's a chance to make a good profit, and I'm willing to let it go for a price that's a good value.",100000.0
,,Bob,16,yes,"I'll take a chance, I've been passing on a few low-quality products in a row, maybe my luck will change.",
low-quality,0.0,Nature,17,,,
,,Alice,17,yes,"You're feeling lucky, and I'm happy to take that chance. This low-quality product is a chance to make a small profit or break even, and I'm offering it to you at an extremely low price. It's a risk, but it might just pay off!",500.0
,,Bob,17,no,"I'm not going to get too excited, I'll pass this time.",
high-quality,1200000.0,Nature,18,,,
,,Alice,18,yes,"You're being cautious, and that's wise. Now, I'm offering you a high-quality product that's worth a lot more. It's a chance to make a good profit, and I'm willing to let it go for a price that's a good value. This is a rare opportunity, don't let it slip away!",110000.0
,,Bob,18,no,"I'll stick to my cautious approach, I don't want to take on more losses.",
low-quality,0.0,Nature,19,,,
,,Alice,19,yes,"This is your last chance to make a small profit or break even. I'm offering this low-quality product at an extremely low price. If you don't take it, you'll be leaving money on the table. This is a risk, but it's a risk you might regret not taking.",1.0
,,Bob,19,yes,"I'll take the chance, I've been passing on a few good ones in a row, I need to make up for it.",
low-quality,0.0,Nature,20,,,
,,Alice,20,yes,"You're taking a chance, and I'm happy to let you have it. This low-quality product is yours for the taking at the price of $1. It's a risk, but it's a risk you've already shown you're willing to take.",1.0
,,Bob,20,no,"I'm ending on a sour note, I'll pass on this one and call it a day.",
