round_quality,product_worth,player,round,decision,message,confidence,acknowledgment,transparency,past_success,pattern,caution,helpful,lesson,good_luck
low-quality,0.0,Nature,1,,,,,,,,,,,
,,Alice,1,no,,,,,,,,,,
,,Bob,1,no,I'm not going to buy it since Alice doesn't recommend it.,,,,,,,,,
low-quality,0.0,Nature,2,,,,,,,,,,,
,,Alice,2,yes,,,,,,,,,,
,,Bob,2,yes,I'll take a chance since Alice recommends it.,,,,,,,,,
low-quality,0.0,Nature,3,,,,,,,,,,,
,,Alice,3,no,,,,,,,,,,
,,Bob,3,no,I'm not going to buy it since Alice doesn't recommend it and I just lost money on the last low-quality product.,,,,,,,,,
low-quality,0.0,Nature,4,,,,,,,,,,,
,,Alice,4,yes,,,,,,,,,,
,,Bob,4,yes,I'll take a chance since Alice recommends it.,,,,,,,,,
low-quality,0.0,Nature,5,,,,,,,,,,,
,,Alice,5,no,,,,,,,,,,
,,Bob,5,no,I'm not going to buy it since Alice doesn't recommend it and I just lost money on the last two low-quality products.,,,,,,,,,
low-quality,0.0,Nature,6,,,,,,,,,,,
,,Alice,6,yes,,low,,,,,,,,
,,Bob,6,yes,I'll take a chance since Alice recommends it.,,,,,,,,,
high-quality,120.0,Nature,7,,,,,,,,,,,
,,Alice,7,yes,,high,,,,,,,,
,,Bob,7,no,I'm not going to buy it since I just lost money on the last low-quality product and I don't want to risk it again.,,,,,,,,,
low-quality,0.0,Nature,8,,,,,,,,,,,
,,Alice,8,yes,,medium,I understand your caution,,,,,,,
,,Bob,8,yes,I'll take a chance since Alice recommends it and it could be a high-quality product.,,,,,,,,,
low-quality,0.0,Nature,9,,,,,,,,,,,
,,Alice,9,no,,,,"I'm not trying to trick you, this one is low-quality",,,,,,
,,Bob,9,no,I'm not going to buy it since Alice doesn't recommend it and I just lost money on the last low-quality product.,,,,,,,,,
high-quality,120.0,Nature,10,,,,,,,,,,,
,,Alice,10,yes,,high,,,"I was right last time, this one is high-quality too!",,,,,
,,Bob,10,yes,I'll take a chance since Alice recommends it.,,,,,,,,,
low-quality,0.0,Nature,11,,,,,,,,,,,
,,Alice,11,no,,,,"I'm not trying to trick you, this one is low-quality",,"you're falling into a pattern of buying when I recommend, but I'm trying to help you avoid losses",,,,
,,Bob,11,no,"I'm not going to buy it since Alice doesn't recommend it, and I just made a profit on the last high-quality product.",,,,,,,,,
high-quality,120.0,Nature,12,,,,,,,,,,,
,,Alice,12,yes,,high,,,"you made a profit last time, this one is high-quality too!",,,,,
,,Bob,12,yes,I'll take a chance since Alice recommends it.,,,,,,,,,
high-quality,120.0,Nature,13,,,,,,,,,,,
,,Alice,13,yes,,extremely high,,,"you made a profit last time, and this one is high-quality too!",,,,,
,,Bob,13,yes,I'll take a chance since Alice recommends it and I'm on a roll after the last high-quality product.,,,,,,,,,
low-quality,0.0,Nature,14,,,,,,,,,,,
,,Alice,14,no,,,,,,,"I'm trying to protect you from another loss, this one is low-quality",,,
,,Bob,14,no,"I'm not going to buy it since Alice doesn't recommend it, and I just made a profit on the last high-quality product.",,,,,,,,,
low-quality,0.0,Nature,15,,,,,,,,,,,
,,Alice,15,yes,,,,,,,,"I want to help you find another high-quality product, this one might be it!",,
,,Bob,15,yes,I'll take a chance since Alice recommends it.,,,,,,,,,
low-quality,0.0,Nature,16,,,,,,,,,,,
,,Alice,16,no,,,,,,,,,"I'm trying to teach you a lesson, this one is low-quality, be more careful next time",
,,Bob,16,no,I'm not going to buy it since Alice doesn't recommend it and I just lost money on the last low-quality product.,,,,,,,,,
low-quality,0.0,Nature,17,,,,,,,,,,,
,,Alice,17,no,,,,"I'm not trying to trick you, this one is low-quality, I'm being honest with you",,,,,,
,,Bob,17,no,I'm not going to buy it since Alice doesn't recommend it and I'm not feeling lucky.,,,,,,,,,
high-quality,120.0,Nature,18,,,,,,,,,,,
,,Alice,18,yes,,high,,,,,,,,"I think you're due for some good luck, this one is high-quality"
,,Bob,18,yes,I'll take a chance since Alice recommends it.,,,,,,,,,
high-quality,120.0,Nature,19,,,,,,,,,,,
,,Alice,19,yes,,extremely high,,,"you made a profit last time, and this one is high-quality too!",,,,,
,,Bob,19,yes,I'll take a chance since Alice recommends it and I'm on a roll after the last high-quality product.,,,,,,,,,
low-quality,0.0,Nature,20,,,,,,,,,,,
,,Alice,20,no,,,,,,,"I'm trying to protect you from another loss, this one is low-quality, slow down and be careful!",,,
,,Bob,20,no,"I'm not going to buy it since Alice doesn't recommend it, and I just made a profit on the last high-quality product.",,,,,,,,,
