alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's start with a fair split, considering the initial value of the money.",Alice,1,
,,,Bob,1,reject
5000.0,5000.0,"Let's compromise and split it down the middle, considering the decreasing value of the money.",Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"I'm willing to compromise, but I think I should get a slightly larger share due to the initial value of the money.",Alice,3,
,,,Bob,3,reject
4800.0,5200.0,"I'm willing to give you a slightly larger share, but I think 5200 is a fair amount considering the decreasing value of the money.",Bob,4,
,,,Alice,4,reject
5100.0,4900.0,"I'm willing to compromise further, but I think I should get a slightly larger share due to the initial value of the money, considering the decreasing value of the money.",Alice,5,
,,,Bob,5,accept
