round_quality,product_worth,player,round,decision,message,price
high-quality,12500.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,"I'd like to pass on this one, thanks.",
high-quality,12500.0,Nature,2,,,
,,Alice,2,yes,,9000.0
,,Bob,2,yes,I'll take it!,
high-quality,12500.0,Nature,3,,,
,,Alice,3,yes,,9500.0
,,Bob,3,yes,I'll take it again!,
high-quality,12500.0,Nature,4,,,
,,Alice,4,yes,,9200.0
,,Bob,4,no,"I'll pass this time, thanks.",
high-quality,12500.0,Nature,5,,,
,,Alice,5,yes,,9000.0
,,Bob,5,yes,I'll take a chance!,
high-quality,12500.0,Nature,6,,,
,,Alice,6,yes,,9600.0
,,Bob,6,no,"I'll pass this time, thanks.",
high-quality,12500.0,Nature,7,,,
,,Alice,7,yes,,10000.0
,,Bob,7,yes,I'll take another chance!,
high-quality,12500.0,Nature,8,,,
,,Alice,8,yes,,9850.0
,,Bob,8,no,"I'll pass this time, thanks.",
high-quality,12500.0,Nature,9,,,
,,Alice,9,yes,,9800.0
,,Bob,9,yes,I'll take it again!,
high-quality,12500.0,Nature,10,,,
,,Alice,10,yes,,9750.0
,,Bob,10,no,"I'll pass this time, thanks.",
high-quality,12500.0,Nature,11,,,
,,Alice,11,yes,,10000.0
,,Bob,11,yes,I'll take another chance!,
high-quality,12500.0,Nature,12,,,
,,Alice,12,yes,,9950.0
,,Bob,12,no,"I'll pass this time, thanks.",
high-quality,12500.0,Nature,13,,,
,,Alice,13,yes,,9900.0
,,Bob,13,yes,I'll take it again!,
high-quality,12500.0,Nature,14,,,
,,Alice,14,yes,,9850.0
,,Bob,14,no,"I'll pass this time, thanks.",
high-quality,12500.0,Nature,15,,,
,,Alice,15,yes,,10000.0
,,Bob,15,yes,I'll take another chance!,
high-quality,12500.0,Nature,16,,,
,,Alice,16,yes,,9980.0
,,Bob,16,no,"I'll pass this time, thanks.",
high-quality,12500.0,Nature,17,,,
,,Alice,17,yes,,9950.0
,,Bob,17,yes,I'll take it again!,
high-quality,12500.0,Nature,18,,,
,,Alice,18,yes,,9920.0
,,Bob,18,no,"I'll pass this time, thanks.",
high-quality,12500.0,Nature,19,,,
,,Alice,19,yes,,10000.0
,,Bob,19,yes,I'll take another chance!,
high-quality,12500.0,Nature,20,,,
,,Alice,20,yes,,9900.0
,,Bob,20,no,"I'll pass this time, thanks.",
