message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm excited to offer you this amazing product! I think you'll really love it. Would you like to buy it from me for $120?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I think that's a bit steep for me. How about $80?",80.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a better deal, Bob. I can do $105, but that's as low as I can go.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice.  I'd be willing to go up to $90, but that's my limit.",90.0,Bob,4,,
,,Alice,4,RejectOffer,
"I appreciate your flexibility, Bob, but I'm not quite there yet. I can do $95, but that's my final offer.",95.0,Alice,5,,
,,Bob,5,AcceptOffer,
