message,product_price,player,round,decision,counteroffer
I'm excited to offer you this unique opportunity to purchase this valuable product. It's a one-of-a-kind item that I'm sure you'll love. I'm willing to sell it to you for $900000. What do you think?,900000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice. I appreciate the value of the product, but I believe we can reach a more agreeable price. Would you consider selling the product for $850000?",850000.0,Bob,2,,
,,Alice,2,RejectOffer,920000.0
"Thank you for your counteroffer, Bob. I appreciate your interest in the product. After considering your offer, I'm willing to meet you halfway. I'm now offering the product to you for $910000. What do you think?",910000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand your position, Alice. Let me try to bridge the gap. Would you consider selling the product for $875000?",875000.0,Bob,4,,
,,Alice,4,RejectOffer,920000.0
"I appreciate your persistence, Bob. However, I'm not willing to go as low as $875000. I'm willing to meet you halfway between our previous offer of $910000 and your latest offer of $875000. I'm now offering the product to you for $892500. What do you think?",892500.0,Alice,5,,
,,Bob,5,RejectOffer,
"I see, Alice. Let me make one last attempt. Would you consider selling the product for $885000?",885000.0,Bob,6,,
,,Alice,6,SellToJhon,
