product_price,player,round,decision,counteroffer
90.0,Alice,1,,
,Bob,1,RejectOffer,
85.0,Bob,2,,
,Alice,2,RejectOffer,92.0
95.0,Alice,3,,
,Bob,3,RejectOffer,
92.0,Bob,4,,
,Alice,4,RejectOffer,98.0
100.0,Alice,5,,
,Bob,5,RejectOffer,
98.0,Bob,6,,
,Alice,6,RejectOffer,102.0
105.0,Alice,7,,
,Bob,7,RejectOffer,
102.0,Bob,8,,
,Alice,8,RejectOffer,108.0
110.0,Alice,9,,
,Bob,9,RejectOffer,
108.0,Bob,10,,
,Alice,10,RejectOffer,112.0
115.0,Alice,11,,
,Bob,11,RejectOffer,
112.0,Bob,12,,
,Alice,12,SellToJhon,
