message,product_price,player,round,decision,new_offer
I'm excited to offer you this great product! I think you'll really like it. I'm willing to let it go for $180.,180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but that's a bit steep for me.  Would you consider $60?",60.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I appreciate your offer, Bob, but I think the product is worth more than that. I'm willing to meet you in the middle, so how about $120?",120.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand it's a good product Alice, but I'm on a tight budget. Could you do $75?",75.0,Bob,4,,
,,Alice,4,RejectOffer,140.0
"I'm starting to think we're getting closer, Bob. I'm willing to compromise a bit more, but I need to make a profit. How about $130?",130.0,Alice,5,,
,,Bob,5,BuyFromJhon,
