message,product_price,player,round,decision,newOffer
"Hi Bob, I'm excited to offer you this amazing product! I think you'll really love it. Would you like to buy it from me for $150?",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but $150 is a bit steep for me. Would you be willing to consider a price of $125?",125.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you in the middle. How about we try $140?",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me in the middle, Alice. However, I'm still a bit above my budget. Would you be willing to consider a price of $130?",130.0,Bob,4,,
,,Alice,4,RejectOffer,135.0
"I'm getting closer to your price, Bob. I can do $135, but I'm not sure I can go any lower. What do you think?",135.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm getting close, Alice! I'm willing to meet you halfway between $120 and $135. Would you be willing to sell it to me for $127.50?",127.5,Bob,6,,
,,Alice,6,RejectOffer,132.5
"I like your math, Bob! I can do $132.50, but I'm still a bit above your halfway point. Let's meet you in the middle of that, how about $132.50?",132.5,Alice,7,,
,,Bob,7,AcceptOffer,
