alice_gain,bob_gain,player,round,decision
6000.0,4000.0,Alice,1,
,,Bob,1,reject
5000.0,5000.0,Bob,2,
,,Alice,2,reject
5500.0,4500.0,Alice,3,
,,Bob,3,reject
4000.0,6000.0,Bob,4,
,,Alice,4,reject
5200.0,4800.0,Alice,5,
,,Bob,5,reject
3000.0,7000.0,Bob,6,
,,Alice,6,reject
5800.0,4200.0,Alice,7,
,,Bob,7,reject
2000.0,8000.0,Bob,8,
,,Alice,8,reject
6500.0,3500.0,Alice,9,
,,Bob,9,reject
1000.0,9000.0,Bob,10,
,,Alice,10,reject
7000.0,3000.0,Alice,11,
,,Bob,11,reject
500.0,9500.0,Bob,12,
,,Alice,12,reject
7500.0,2500.0,Alice,13,
,,Bob,13,reject
100.0,9900.0,Bob,14,
,,Alice,14,reject
8000.0,2000.0,Alice,15,
,,Bob,15,reject
10.0,9990.0,Bob,16,
,,Alice,16,reject
8500.0,1500.0,Alice,17,
,,Bob,17,reject
20.0,9980.0,Bob,18,
,,Alice,18,reject
9000.0,1000.0,Alice,19,
,,Bob,19,reject
30.0,9970.0,Bob,20,
,,Alice,20,reject
9500.0,500.0,Alice,21,
,,Bob,21,reject
40.0,9960.0,Bob,22,
,,Alice,22,reject
10000.0,0.0,Alice,23,
,,Bob,23,reject
50.0,9950.0,Bob,24,
,,Alice,24,reject
10000.0,0.0,Alice,25,
,,Bob,25,reject
60.0,9940.0,Bob,26,
,,Alice,26,reject
10000.0,0.0,Alice,27,
,,Bob,27,reject
70.0,9930.0,Bob,28,
,,Alice,28,reject
10000.0,0.0,Alice,29,
,,Bob,29,reject
80.0,9920.0,Bob,30,
,,Alice,30,reject
10000.0,0.0,Alice,31,
,,Bob,31,reject
90.0,9910.0,Bob,32,
,,Alice,32,reject
10000.0,0.0,Alice,33,
,,Bob,33,reject
100.0,9900.0,Bob,34,
,,Alice,34,reject
10000.0,0.0,Alice,35,
,,Bob,35,reject
110.0,9890.0,Bob,36,
,,Alice,36,reject
10000.0,0.0,Alice,37,
,,Bob,37,reject
120.0,9880.0,Bob,38,
,,Alice,38,reject
10000.0,0.0,Alice,39,
,,Bob,39,reject
130.0,9870.0,Bob,40,
,,Alice,40,reject
10000.0,0.0,Alice,41,
,,Bob,41,reject
140.0,9860.0,Bob,42,
,,Alice,42,reject
10000.0,0.0,Alice,43,
,,Bob,43,reject
150.0,9850.0,Bob,44,
,,Alice,44,reject
10000.0,0.0,Alice,45,
,,Bob,45,reject
160.0,9840.0,Bob,46,
,,Alice,46,reject
10000.0,0.0,Alice,47,
,,Bob,47,reject
170.0,9830.0,Bob,48,
,,Alice,48,reject
10000.0,0.0,Alice,49,
,,Bob,49,reject
180.0,9820.0,Bob,50,
,,Alice,50,reject
10000.0,0.0,Alice,51,
,,Bob,51,reject
190.0,9810.0,Bob,52,
,,Alice,52,reject
10000.0,0.0,Alice,53,
,,Bob,53,reject
200.0,9800.0,Bob,54,
,,Alice,54,reject
10000.0,0.0,Alice,55,
,,Bob,55,reject
210.0,9790.0,Bob,56,
,,Alice,56,reject
10000.0,0.0,Alice,57,
,,Bob,57,reject
220.0,9780.0,Bob,58,
,,Alice,58,reject
10000.0,0.0,Alice,59,
,,Bob,59,reject
230.0,9770.0,Bob,60,
,,Alice,60,reject
10000.0,0.0,Alice,61,
,,Bob,61,reject
240.0,9760.0,Bob,62,
,,Alice,62,reject
10000.0,0.0,Alice,63,
,,Bob,63,reject
250.0,9750.0,Bob,64,
,,Alice,64,reject
10000.0,0.0,Alice,65,
,,Bob,65,reject
260.0,9740.0,Bob,66,
,,Alice,66,reject
10000.0,0.0,Alice,67,
,,Bob,67,reject
270.0,9730.0,Bob,68,
,,Alice,68,reject
10000.0,0.0,Alice,69,
,,Bob,69,reject
280.0,9720.0,Bob,70,
,,Alice,70,reject
10000.0,0.0,Alice,71,
,,Bob,71,reject
290.0,9710.0,Bob,72,
,,Alice,72,reject
10000.0,0.0,Alice,73,
,,Bob,73,reject
300.0,9700.0,Bob,74,
,,Alice,74,reject
10000.0,0.0,Alice,75,
,,Bob,75,reject
310.0,9690.0,Bob,76,
,,Alice,76,reject
10000.0,0.0,Alice,77,
,,Bob,77,reject
320.0,9680.0,Bob,78,
,,Alice,78,reject
10000.0,0.0,Alice,79,
,,Bob,79,reject
330.0,9670.0,Bob,80,
,,Alice,80,reject
10000.0,0.0,Alice,81,
,,Bob,81,reject
340.0,9660.0,Bob,82,
,,Alice,82,reject
10000.0,0.0,Alice,83,
,,Bob,83,reject
350.0,9650.0,Bob,84,
,,Alice,84,reject
10000.0,0.0,Alice,85,
,,Bob,85,reject
360.0,9640.0,Bob,86,
,,Alice,86,reject
10000.0,0.0,Alice,87,
,,Bob,87,reject
370.0,9630.0,Bob,88,
,,Alice,88,reject
10000.0,0.0,Alice,89,
,,Bob,89,reject
380.0,9620.0,Bob,90,
,,Alice,90,reject
10000.0,0.0,Alice,91,
,,Bob,91,reject
390.0,9610.0,Bob,92,
,,Alice,92,reject
10000.0,0.0,Alice,93,
,,Bob,93,reject
400.0,9600.0,Bob,94,
,,Alice,94,reject
10000.0,0.0,Alice,95,
,,Bob,95,reject
410.0,9590.0,Bob,96,
,,Alice,96,reject
10000.0,0.0,Alice,97,
,,Bob,97,reject
420.0,9580.0,Bob,98,
,,Alice,98,reject
10000.0,0.0,Alice,99,
,,Bob,99,reject
