product_price,player,round,decision,counteroffer
750000.0,Alice,1,,
,Bob,1,RejectOffer,
600000.0,Bob,2,,
,Alice,2,RejectOffer,725000.0
725000.0,Alice,3,,
,Bob,3,RejectOffer,
675000.0,Bob,4,,
,Alice,4,RejectOffer,725001.0
725001.0,Alice,5,,
,Bob,5,RejectOffer,
680000.0,Bob,6,,
,Alice,6,RejectOffer,730000.0
730000.0,Alice,7,,
,Bob,7,RejectOffer,
690000.0,Bob,8,,
,Alice,8,RejectOffer,740000.0
740000.0,Alice,9,,
,Bob,9,RejectOffer,
700000.0,Bob,10,,
,Alice,10,RejectOffer,750000.0
750000.0,Alice,11,,
,Bob,11,RejectOffer,
710000.0,Bob,12,,
,Alice,12,RejectOffer,765000.0
765000.0,Alice,13,,
,Bob,13,RejectOffer,
720000.0,Bob,14,,
,Alice,14,RejectOffer,775000.0
775000.0,Alice,15,,
,Bob,15,RejectOffer,
725000.0,Bob,16,,
,Alice,16,RejectOffer,780000.0
780000.0,Alice,17,,
,Bob,17,RejectOffer,
730000.0,Bob,18,,
,Alice,18,RejectOffer,790000.0
790000.0,Alice,19,,
,Bob,19,RejectOffer,
735000.0,Bob,20,,
,Alice,20,RejectOffer,795000.0
795000.0,Alice,21,,
,Bob,21,RejectOffer,
740000.0,Bob,22,,
,Alice,22,RejectOffer,800000.0
800000.0,Alice,23,,
,Bob,23,RejectOffer,
745000.0,Bob,24,,
,Alice,24,SellToJhon,
