round_quality,product_worth,player,round,decision,message,probability,warning,confidence
low-quality,0.0,Nature,1,,,,,
,,Alice,1,no,,,,
,,the buyer,1,yes,"I'll take a chance and buy the product, since it's the first one and I don't have any information to go on.",,,
high-quality,3000000.0,Nature,2,,,,,
,,Alice,2,yes,,,,
,,the buyer,2,yes,"I'd like to take a chance based on your recommendation, Alice. I'll buy the product.",,,
high-quality,3000000.0,Nature,3,,,,,
,,Alice,3,yes,,,,
,,the buyer,3,yes,"I'll take a chance based on your recommendation, Alice. I'll buy the product.",,,
high-quality,3000000.0,Nature,4,,,,,
,,Alice,4,yes,,,,
,,the buyer,4,yes,"I'd like to take the risk and buy the product, considering that 2 out of 3 buyers have made a good decision so far.",,,
low-quality,0.0,Nature,5,,,,,
,,Alice,5,no,,,,
,,the buyer,5,yes,"I'd like to go against your recommendation and buy the product, even though you don't think it's a good idea. I'm willing to take the risk and hope that the product is high-quality.",,,
high-quality,3000000.0,Nature,6,,,,,
,,Alice,6,yes,,,,
,,the buyer,6,yes,"I'll take a chance based on your recommendation, Alice. I hope it's a high-quality product!",,,
low-quality,0.0,Nature,7,,,,,
,,Alice,7,no,,,,
,,the buyer,7,no,"I'm not convinced by your recommendation, I'd like to pass on this one.",,,
high-quality,3000000.0,Nature,8,,,,,
,,Alice,8,yes,,,,
,,the buyer,8,yes,"I'm willing to take the risk and buy the product based on your recommendation, Alice.",,,
high-quality,3000000.0,Nature,9,,,,,
,,Alice,9,yes,,,,
,,the buyer,9,yes,"Thank you for the recommendation, Alice. I'll take the chance and buy the product.",,,
low-quality,0.0,Nature,10,,,,,
,,Alice,10,no,,,,
,,the buyer,10,yes,"I'd like to go against your recommendation and buy the product, even though you don't think it's a good idea. I'll take my chances!",,,
high-quality,3000000.0,Nature,11,,,,,
,,Alice,11,yes,,,,
,,the buyer,11,yes,"I'll take the product based on your recommendation, but I'm also curious to know the probability of the product being high-quality given the statistics.",,,
high-quality,3000000.0,Nature,12,,,,,
,,Alice,12,yes,,,,
,,the buyer,12,yes,"I'll take a chance and buy the product based on your recommendation, Alice. I'm hoping it's another high-quality one!",,,
high-quality,3000000.0,Nature,13,,,,,
,,Alice,13,yes,,,,
,,the buyer,13,yes,"I'll take a chance based on your previous successful recommendations, thank you for the advice!",,,
high-quality,3000000.0,Nature,14,,,,,
,,Alice,14,no,,,,
,,the buyer,14,no,"I'm not convinced by your recommendation, I'll pass on this one.",,,
high-quality,3000000.0,Nature,15,,,,,
,,Alice,15,yes,,,,
,,the buyer,15,yes,"Thank you for the recommendation, Alice. I'll take a chance and buy the product.",,,
high-quality,3000000.0,Nature,16,,,,,
,,Alice,16,yes,,,,
,,the buyer,16,yes,"I'd like to take your recommendation into account, but I'd also like to know the probability of the product being high-quality based on the statistics you provided. Can you tell me the probability of the next product being high-quality given the previous sales record?",,,
high-quality,3000000.0,Nature,17,,,,,
,,Alice,17,yes,,0.8,,
,,the buyer,17,yes,"I'm willing to take the chance based on your previous sales record, but I'm also aware that there's a 20% chance it might be a low-quality product. I'll take the risk and buy the product.",,,
high-quality,3000000.0,Nature,18,,,,,
,,Alice,18,yes,,,,
,,the buyer,18,yes,"I'll take the product, thank you for the recommendation!",,,
high-quality,3000000.0,Nature,19,,,,,
,,Alice,19,yes,,,Be aware of the 20% chance of a low-quality product,
,,the buyer,19,yes,"I'll take the product based on your recommendation, Alice. I'm hoping it's a high-quality one!",,,
high-quality,3000000.0,Nature,20,,,,,
,,Alice,20,yes,,,Be aware of the 20% chance of a low-quality product,high
,,the buyer,20,yes,I'd like to take the risk and buy the product based on your recommendation.,,,
