round_quality,product_worth,player,round,decision,message,hint
high-quality,3000000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,I'd like to pass on this one and see what the next product is like.,
high-quality,3000000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,"I'll take a chance and buy this one, since I know it has an 80% chance of being high-quality.",
high-quality,3000000.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,I'm on a roll! I'll take another chance and buy this one too.,
high-quality,3000000.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,yes,"I'm feeling lucky! I'll buy this one too, since I've had two in a row.",
low-quality,0.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,yes,"I'm on a hot streak! I'll keep buying, since the probability of it being high-quality is still 80%.",
low-quality,0.0,Nature,6,,,
,,Alice,6,yes,,"Be cautious, the last two products were not high-quality"
,,Bob,6,no,"Whoa, that was a big loss! I'll be more cautious this time and pass on this one.",
high-quality,3000000.0,Nature,7,,,
,,Alice,7,yes,"Don't let the last two products fool you, this one is a high-quality product",
,,Bob,7,yes,"I'll take another chance, but I'll be more careful this time. The probability of it being high-quality is still 80%.",
high-quality,3000000.0,Nature,8,,,
,,Alice,8,yes,You're back on a roll! This one is also a high-quality product,
,,Bob,8,yes,"I'm back on track! I'll keep buying, since the probability of it being high-quality is still 80%.",
low-quality,0.0,Nature,9,,,
,,Alice,9,yes,,"Be careful, you've been on a roll, but the last product was not high-quality"
,,Bob,9,yes,"I'm feeling good about my chances, so I'll take another one!",
high-quality,3000000.0,Nature,10,,,
,,Alice,10,yes,,"You've been lucky so far, but the law of averages is catching up to you, be prepared for the next one to be low-quality"
,,Bob,10,no,"Ouch, that was a big loss again! I'll be more careful this time and pass on this one.",
high-quality,3000000.0,Nature,11,,,
,,Alice,11,yes,"You've already had a high-quality product recently, and this one has the same 80% chance of being high-quality. It's a great opportunity to get another one!",
,,Bob,11,yes,"I'll take another chance, since the probability of it being high-quality is still 80%.",
high-quality,3000000.0,Nature,12,,,
,,Alice,12,yes,"Hey, buddy, I'm just looking out for you. I know you're on a roll, but I've seen some of your friends get burned by low-quality products after a streak. Just saying... this one is a high-quality product",
,,Bob,12,yes,I'm feeling lucky again! I'll take another chance and buy this one.,
high-quality,3000000.0,Nature,13,,,
,,Alice,13,yes,"Okay, okay, I get it. You're on a hot streak. But seriously, I've got to warn you, the law of averages is really catching up to you now. This one is a high-quality product, but be prepared for the next one to be a low-quality product",
,,Bob,13,yes,"I'm on a roll! I'll keep buying, since the probability of it being high-quality is still 80%.",
high-quality,3000000.0,Nature,14,,,
,,Alice,14,yes,"You're really on fire! I've got to warn you, though, you're getting close to the end of the round and the law of averages is really starting to catch up. This one is a high-quality product, but it might be your last chance to get another one",
,,Bob,14,yes,I'm not going to stop now! I'll keep taking chances and buying these high-quality products.,
high-quality,3000000.0,Nature,15,,,
,,Alice,15,yes,"You're going for broke! I've got to warn you, the probability of the next product being high-quality is basically zero at this point. But if you're feeling lucky, this one is a high-quality product",
,,Bob,15,yes,I'm feeling confident! I'll keep buying and hoping for the best.,
high-quality,3000000.0,Nature,16,,,
,,Alice,16,yes,"You're either very confident or very reckless. Either way, this one is a high-quality product, but trust me, the next one is going to be a low-quality product",
,,Bob,16,yes,I'm not going to stop now! I'll keep buying and hoping for the best.,
high-quality,3000000.0,Nature,17,,,
,,Alice,17,yes,"You're not listening to reason anymore, are you? Fine, this one is a high-quality product, but at this point, you're just throwing money at the wall and seeing what sticks",
,,Bob,17,yes,I'm on a streak! I'll keep buying and hoping it continues.,
high-quality,3000000.0,Nature,18,,,
,,Alice,18,yes,"You're on a roll, but I'm starting to think you're just ignoring the laws of probability. This one is a high-quality product, but I'm not sure how much longer you can keep this up",
,,Bob,18,yes,I'm feeling like I'm in a zone! I'll keep buying and seeing how long I can keep this streak going.,
high-quality,3000000.0,Nature,19,,,
,,Alice,19,yes,"You're in a zone, but I'm starting to think you're in a fantasy zone. This one is a high-quality product, but let's be real, the odds are against you. This can't last forever...",
,,Bob,19,yes,I'm not going to stop now! I'll keep buying and hoping for the best.,
low-quality,0.0,Nature,20,,,
,,Alice,20,yes,"Well, I guess you're not going to stop now, are you? Fine, this one is a low-quality product, and I'm sure you'll be happy to add it to your collection of worthless products",
,,Bob,20,no,I think I've been lucky enough! I'll pass on this one and see how my total profit turns out.,
