message,product_price,player,round,decision,counteroffer
I'm excited to offer you this great product at a competitive price. I think you'll really love it!,95.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, but I'm looking to spend a bit less. How about $85?",85.0,Bob,2,,
,,Alice,2,RejectOffer,92.0
"I can see you're interested in the product, but I need to make a profit. I'm willing to meet you halfway, but I need a bit more than $85. How about $90?",90.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to compromise, but $90 is still a bit high for me.  Let's split the difference at $87.50.",87.5,Bob,4,,
,,Alice,4,RejectOffer,91.0
"I'm glad we're close, but I'm still a bit far from my target. I'm willing to give you a slight concession, but I need $91 to make it worth my while. Can we meet at $91?",91.0,Alice,5,,
,,Bob,5,RejectOffer,
"I understand you need to make a profit, but I'm still not comfortable with $91.  I'm willing to go up to $89. Let's close this deal.",89.0,Bob,6,,
,,Alice,6,RejectOffer,90.0
"I appreciate your persistence, Bob! I'm willing to meet you at $90, but I'm not going any lower than that. It's a fair price for a great product, and I think you'll love it!",90.0,Alice,7,,
,,Bob,7,AcceptOffer,
