alice_gain,bob_gain,message,player,round,decision
800000.0,200000.0,Let's get this started! I'll take 80% and you can take 20%,Alice,1,
,,,Bob,1,reject
100000.0,900000.0,"You're starting strong, but I'm looking for a better deal!",Bob,2,
,,,Alice,2,reject
600000.0,400000.0,"I'm willing to compromise, but I need a decent share. Let's meet in the middle!",Alice,3,
,,,Bob,3,reject
400000.0,600000.0,"I'm still holding out for a better deal, Alice. Don't think you can lowball me!",Bob,4,
,,,Alice,4,reject
450000.0,550000.0,"I'm willing to give you a slight edge, but I need to keep some power in the negotiation. Let's find a middle ground!",Alice,5,
,,,Bob,5,accept
