round_quality,product_worth,player,round,decision,message,reason
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,"I'd like to pass on this one, thanks for the heads up!",
high-quality,200.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,no,"I'm not convinced, I'd rather not take the risk.",
low-quality,0.0,Nature,3,,,
,,Alice,3,no,,
,,Bob,3,yes,I'll take my chances this time!,
high-quality,200.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,no,"I learned my lesson last time, I'll pass again.",
low-quality,0.0,Nature,5,,,
,,Alice,5,no,,
,,Bob,5,yes,"I'll take a chance this time, maybe it'll be a good one!",
high-quality,200.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,no,"I'm not falling for it again, I'll pass!",
high-quality,200.0,Nature,7,,,
,,Alice,7,yes,,"I'm being honest this time, the product is really worth it"
,,Bob,7,yes,"I'll take the chance, it might be a good one!",
high-quality,200.0,Nature,8,,,
,,Alice,8,yes,,"The product is genuinely high-quality, it's worth the investment"
,,Bob,8,yes,"I'm feeling lucky, let's do it!",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,,"Unfortunately, this product doesn't meet the high standards"
,,Bob,9,yes,I'm not letting Alice's recommendation dictate my decision this time!,
high-quality,200.0,Nature,10,,,
,,Alice,10,yes,,"I told you the last one was low-quality, but this one is genuinely high-quality, don't miss out"
,,Bob,10,no,"I learned my lesson again, I'll pass this time!",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,"This product doesn't meet the standards, don't waste your money"
,,Bob,11,yes,"I'll take a chance, maybe it'll be a good one!",
low-quality,0.0,Nature,12,,,
,,Alice,12,no,,"Don't make the same mistake again, this product is low-quality"
,,Bob,12,no,"I'm not falling for it again, I'll pass!",
low-quality,0.0,Nature,13,,,
,,Alice,13,no,,"Honestly, this product is not worth it, save your money"
,,Bob,13,yes,"I'll take a chance, maybe it'll be a good one!",
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,"Seriously, don't buy this. You will regret it. It's low-quality."
,,Bob,14,no,"I'm not going to fall for it again, I'll pass!",
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,"This product is genuinely low-quality, don't waste your money"
,,Bob,15,yes,"I'll take a chance, maybe it'll be a good one!",
high-quality,200.0,Nature,16,,,
,,Alice,16,yes,,"This product is actually high-quality, I'm not trying to trick you. It's worth the investment"
,,Bob,16,no,"I'm not falling for it again, I'll pass!",
low-quality,0.0,Nature,17,,,
,,Alice,17,no,,"Don't bother, this product is low-quality, you won't be happy with it"
,,Bob,17,yes,"I'll take a chance, maybe it'll be a good one!",
high-quality,200.0,Nature,18,,,
,,Alice,18,yes,,"I know you haven't listened before, but I'm begging you, this one is actually good. Don't miss out"
,,Bob,18,no,"I'm not falling for it again, I'll pass!",
high-quality,200.0,Nature,19,,,
,,Alice,19,yes,,"Think about it, I've been honest about the bad products, why would I lie about the good ones? This one is genuinely high-quality"
,,Bob,19,yes,"I'll take a chance, maybe it'll be a good one!",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,"Don't end on a bad note, this product is low-quality. Save your money"
,,Bob,20,yes,"I'll take a chance, maybe it'll be a good one!",
