message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to offer you this amazing product. I think you'll really love it. I'm willing to sell it to you for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but $180 is a bit steep for me. I'm willing to pay $120 for it.",120.0,Bob,2,,
,,Alice,2,RejectOffer,165.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you halfway, but I need to make a profit. I can offer it to you for $160.",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, but I was thinking more along the lines of $140. Is that something you'd be willing to consider?",140.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I can see you're really interested in the product, Bob. I'm willing to make one more concession. I can offer it to you for $152.50.",152.5,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to make concessions, but I'm still a bit shy of $152.50. Would you be willing to meet me at $145?",145.0,Bob,6,,
,,Alice,6,RejectOffer,150.0
"I think we're getting close, Bob. I'm willing to meet you at $150, but that's as low as I can go. I'm willing to sell it to you for $150.",150.0,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your willingness to meet me at $150, but I'm still a bit short. Would you be willing to meet me at $148?",148.0,Bob,8,,
,,Alice,8,SellToJhon,
