message,product_price,player,round,decision,new_offer
"Hello Bob, I have a great product that I think you'll really like. I'm willing to sell it to you for $100.",100.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice!  I'm interested, but $100 is a bit steep for me. How about $85? ",85.0,Bob,2,,
,,Alice,2,RejectOffer,95.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you halfway, so I'm counteroffering at $92.50. What do you think?",92.5,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to negotiate, but $92.50 is still a bit higher than I'm comfortable with.  Let's split the difference and go with $90.  What do you say?",90.0,Bob,4,,
,,Alice,4,RejectOffer,92.0
"I'm not quite ready to give up on $92, Bob. I'm willing to make one more concession, so I'm counteroffering at $91.50. What do you think?",91.5,Alice,5,,
,,Bob,5,AcceptOffer,
