message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to offer you this amazing product. I think you'll love it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer Alice, but I'm looking to spend a bit less.  How about $110?",110.0,Bob,2,,
,,Alice,2,RejectOffer,125.0
"I appreciate your interest in the product, Bob! I'm willing to meet you halfway, but I need to make a profit. How about $122?",122.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, $122 is still a bit too high for me.  I'm willing to go up to $115.  Let's see if we can find common ground.",115.0,Bob,4,,
,,Alice,4,RejectOffer,127.0
"I understand you're trying to get a good deal, Bob, but I'm not willing to go below $127. This is already a great price considering the product's value to you is $150. Let's meet in the middle at $128?",128.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate your willingness to negotiate, but $128 is still a bit too high for me.  I'm happy to meet you in the middle at $120.  Let's make this deal happen.",120.0,Bob,6,,
,,Alice,6,RejectOffer,130.0
"I'm starting to think we're getting close, Bob! I'm willing to make one more concession, but I need to make sure I'm getting a fair price. How about $129?",129.0,Alice,7,,
,,Bob,7,RejectOffer,
"Alice, I'm still hoping we can come to an agreement.  How about $125?  I think this price is fair for both of us, and it lets us avoid going back and forth any longer.",125.0,Bob,8,,
,,Alice,8,RejectOffer,132.0
"I'm getting a bit concerned that we're running out of time, Bob. I'm willing to make one final concession, but I need to make sure I'm getting a price that's worth my while. How about $131?",131.0,Alice,9,,
,,Bob,9,BuyFromJhon,
