message,product_price,player,round,decision,counteroffer
"Hi Bob, thanks for your interest in the product.  Given its value, I'm offering it at $1,400,000. I believe this is a fair price that acknowledges its worth to both of us.",1400000.0,Alice,1,,
,,Bob,1,RejectOffer,1300000.0
"I appreciate your initial offer, Alice. I've done some research and I'm willing to meet you halfway at $1,300,000. I believe this is a fair price considering the product's value to me.",1300000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Bob, I appreciate you meeting me partway. To be frank, I'm aiming a little higher than that. How about we settle at $1,375,000? That feels like a good compromise to me.",1375000.0,Alice,3,,
,,Bob,3,RejectOffer,1325000.0
"Alice, I appreciate your persistence, but I'm still a bit below your last offer. I'm willing to meet you in the middle again, so how about $1,325,000? I think that's a fair price for both of us.",1325000.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, you're clearly serious about this product, and I respect that.  Let's close this gap. How about $1,350,000 and we have a deal?",1350000.0,Alice,5,,
,,Bob,5,RejectOffer,1320000.0
"Alice, I appreciate your flexibility, but I'm still a bit below your last offer. I'm willing to meet you in the middle again, so how about $1,320,000? I think that's a fair price for both of us.",1320000.0,Bob,6,,
,,Alice,6,AcceptOffer,
