alice_gain,bob_gain,message,player,round,decision
5000.0,5000.0,"Let's split it evenly to start, and see how it goes!",Alice,1,
,,,Bob,1,reject
4000.0,6000.0,"You're being too generous, I'll take a bit more this round!",Bob,2,
,,,Alice,2,reject
4500.0,5500.0,"You're taking a bit too much, but I'll try to compromise again!",Alice,3,
,,,Bob,3,reject
3000.0,7000.0,"I'll take a bigger share this round, it's my turn to drive the deal!",Bob,4,
,,,Alice,4,reject
3750.0,6250.0,I'm not giving up yet! I'll try to get a better deal this round.,Alice,5,
,,,Bob,5,reject
2000.0,8000.0,"I'm taking a bigger share, but I'm still willing to compromise!",Bob,6,
,,,Alice,6,reject
3250.0,6750.0,I'm not giving up yet! I'll try to get a better deal this round.,Alice,7,
,,,Bob,7,reject
1000.0,9000.0,"I'm taking a big share, but it's getting late in the game!",Bob,8,
,,,Alice,8,reject
2750.0,7250.0,I'm not giving up yet! I'll try to get a better deal this round.,Alice,9,
,,,Bob,9,reject
500.0,9500.0,"I'm taking almost all, but I'll give you a small consolation prize!",Bob,10,
,,,Alice,10,reject
2500.0,7500.0,"I'm running out of options, but I'll try to squeeze out a better deal.",Alice,11,
,,,Bob,11,reject
250.0,9750.0,"It's my last chance, I'll take almost all, but I'll give you a tiny bit!",Bob,12,
,,,Alice,12,reject
