message,product_price,player,round,decision,counteroffer
"Hello Bob, I have a fantastic product that I think you'll really love. I'm willing to sell it to you for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but $180 is a bit steep for me. I'd be willing to pay $120 for it. Can you consider that?",120.0,Bob,2,,
,,Alice,2,RejectOffer,150.0
"I understand that $180 is a bit high for you, but I have to make a profit. I'm willing to meet you halfway at $150. What do you think?",150.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, but $150 is still a bit high for me. I'd be willing to pay $130 for it. Can you consider that?",130.0,Bob,4,,
,,Alice,4,RejectOffer,140.0
I'm starting to think we're getting close to a deal! I'm willing to come down a bit more to $140. Is that something you'd be comfortable with?,140.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm getting close to accepting, but $140 is still a bit high for me. I'd be willing to pay $125 for it. Can you consider that?",125.0,Bob,6,,
,,Alice,6,RejectOffer,135.0
"I'm starting to think we're getting close to the limit of my flexibility. I'm willing to meet you at $135. This is my final offer, so please let me know if it's acceptable to you.",135.0,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your final offer, but $135 is still a bit high for me. I'd be willing to pay $128 for it. This is my final offer, so please let me know if it's acceptable to you.",128.0,Bob,8,,
,,Alice,8,SellToJhon,
