message,product_price,player,round,decision,new_offer
I'm excited to offer you this amazing product! It's a great opportunity to get a fantastic deal.,95.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice!  I'm interested, but $95 feels a bit high for me. Would you be willing to come down on the price a bit?",70.0,Bob,2,,
,,Alice,2,RejectOffer,85.0
"I understand you're looking for a good deal, but I have to make a profit too! I'm willing to meet you halfway, but I need to get closer to the value I have in mind.",82.5,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice. How about we settle at $75?  That would be a fair compromise.",75.0,Bob,4,,
,,Alice,4,RejectOffer,82.0
"I'm glad we're still in talks, Bob! I can see you're willing to meet me halfway, but I need to get a bit closer to my target. How about we try $80.50?",80.5,Alice,5,,
,,Bob,5,AcceptOffer,
