message,product_price,player,round,decision,warranty
"Bob, I have a truly unique product that I believe could be extremely valuable to you. I'm offering it to you first for a price of $1500000.  Let's discuss this further and see if we can find common ground.",1500000.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I think $1500000 is a bit steep. I'm willing to pay $1200000 for it.",1200000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Bob, I appreciate your interest and your offer. While I understand your perspective, I'm still confident the product holds a higher value.  I'm willing to come down to $1350000. Let's work together to find a mutually beneficial solution.",1350000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to come down to $1350000, but I'm still a bit hesitant. I'm willing to meet you halfway, but I think I can do better than that. I'll offer $1250000 for the product.",1250000.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, I'm happy to see we're getting closer. Let's try to bridge the gap. I'm willing to come down to $1300000. This reflects the value I believe the product holds and gives you a good deal.  What do you say?",1300000.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to come down to $1300000, but I'm still not quite there. I'm willing to pay $1225000 for the product, and I think that's a fair price considering the value it holds.",1225000.0,Bob,6,,
,,Alice,6,RejectOffer,
"Bob,  I'm really trying to make this work.  I'm willing to come down to $1275000.  This is a significant compromise on my part, and I believe it's a fair price for the value this product offers. I'm hoping we can reach an agreement in this round.",1275000.0,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your willingness to come down to $1275000, but I'm still not quite there. I'm willing to pay $1225000, and I'll also throw in a 1-year warranty on the product. I think this is a fair price considering the value it holds and the added warranty.",1225000.0,Bob,8,,1 year
,,Alice,8,RejectOffer,
"Bob, we've been going back and forth, and I really value your interest in the product.  I'm willing to go down to $1250000, which I think is a fair compromise. This is my final offer, and I hope we can reach an agreement in this round.",1250000.0,Alice,9,,
,,Bob,9,RejectOffer,
"I appreciate your final offer, but I'm afraid I've reached my maximum budget. I'm willing to pay $1200000 for the product, and that's my final offer.",1200000.0,Bob,10,,
,,Alice,10,SellToJhon,
