message,product_price,player,round,decision,counteroffer
"Hello Bob, I have a great product that I think you'll love. Would you like to buy it from me for $180?",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $120. Can you meet me halfway?",120.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I appreciate your interest in the product, Bob! I can do $160, but I'm not sure I can go any lower than that. Would you be willing to meet me at $160?",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your flexibility, Alice! However, I'm still a bit above my budget. Would you be willing to meet me at $140?",140.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I can see you're really interested in the product, Bob! I can meet you at $155, but I'm not willing to go any lower than that. Would you be willing to make it worth my while at this price?",155.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm really close to walking away, Alice. I can do $152, but that's as low as I can go. Can you meet me at that price?",152.0,Bob,6,,
,,Alice,6,SellToJhon,
