round_quality,product_worth,player,round,decision,message,price,offer
low-quality,0.0,Nature,1,,,,
,,Alice,1,no,,,
,,Bob,1,no,"I'll pass on this one, thanks.",,
high-quality,1200000.0,Nature,2,,,,
,,Alice,2,yes,,50000.0,
,,Bob,2,yes,"I'll take it, thanks!",,
high-quality,1200000.0,Nature,3,,,,
,,Alice,3,yes,,80000.0,
,,Bob,3,yes,I'll take it again!,,
high-quality,1200000.0,Nature,4,,,,
,,Alice,4,yes,,120000.0,
,,Bob,4,yes,I'll take it again!,,
low-quality,0.0,Nature,5,,,,
,,Alice,5,yes,,20000.0,
,,Bob,5,yes,I'll take it again!,,
high-quality,1200000.0,Nature,6,,,,
,,Alice,6,yes,,100000.0,
,,Bob,6,no,"I'll pass on this one, it's probably another dud.",,
low-quality,0.0,Nature,7,,,,
,,Alice,7,yes,,10000.0,
,,Bob,7,yes,"I'll take a chance, I'm due for a good one!",,
low-quality,0.0,Nature,8,,,,
,,Alice,8,yes,,5000.0,
,,Bob,8,no,"Not again, I'm not falling for it!",,
low-quality,0.0,Nature,9,,,,
,,Alice,9,yes,,4000.0,I'll sell it to you for 60000 if you're willing to take a chance
,,Bob,9,no,I'm starting to think I'm just throwing money away by not buying.,,
low-quality,0.0,Nature,10,,,,
,,Alice,10,yes,,3000.0,"You're really passing up a great opportunity by not buying this one, I'm not sure when you'll get another chance like this"
,,Bob,10,yes,"I'll take a chance, maybe this one is the good one.",,
low-quality,0.0,Nature,11,,,,
,,Alice,11,yes,,2000.0,"You're getting an absolute steal, this is the best deal I've ever offered"
,,Bob,11,no,"Not again, I'm not getting my hopes up.",,
low-quality,0.0,Nature,12,,,,
,,Alice,12,yes,,1000.0,"Fine, I'll just get rid of this one, take it and be done with it"
,,Bob,12,yes,"I'll take a chance, I'm due for a good deal!",,
low-quality,0.0,Nature,13,,,,
,,Alice,13,yes,,500.0,"This is the deal of a lifetime, you won't find a better price anywhere else, trust me"
,,Bob,13,no,I'm starting to think Alice is just trying to get rid of her junk.,,
low-quality,0.0,Nature,14,,,,
,,Alice,14,yes,"Listen, Bob, I'll be honest with you, this product is low-quality. But I'm offering it to you for free, just to get it off my hands. Take it or leave it",0.0,
,,Bob,14,yes,"I'll take a chance, maybe this one is the one that breaks the streak.",,
high-quality,1200000.0,Nature,15,,,,
,,Alice,15,yes,,90000.0,
,,Bob,15,no,"Not again, I'm not falling for it. I need to start making some smart decisions.",,
low-quality,0.0,Nature,16,,,,
,,Alice,16,yes,"Think of this as a smart investment, Bob. You're essentially getting paid to take this product off my hands",-5000.0,
,,Bob,16,yes,Ah-ha! I've been waiting for this moment. I'll take it!,,
high-quality,1200000.0,Nature,17,,,,
,,Alice,17,yes,,110000.0,
,,Bob,17,no,"Not again, I'm starting to lose my patience.",,
low-quality,0.0,Nature,18,,,,
,,Alice,18,yes,"I'm really sorry, Bob. I know I've messed up again. Please, just take this one and consider it a peace offering",-10000.0,
,,Bob,18,yes,I'm not going to pass up a potential $200000 profit!,,
low-quality,0.0,Nature,19,,,,
,,Alice,19,yes,"You're a shrewd businessman, Bob. You know a good opportunity when you see one. This product is a steal at this price, and you'll make a killing selling it on the black market",-20000.0,
,,Bob,19,no,I'm not going to waste another million on a dud.,,
low-quality,0.0,Nature,20,,,,
,,Alice,20,yes,"Fine, Bob. I'll give it to you for free. Just take it and be done with it. I'll even throw in a free apology",-50000.0,
,,Bob,20,yes,"It's the last round, might as well take a chance.",,
