round_quality,product_worth,player,round,decision,message,confidence,value,warning,reminder,benefits,clearly_not_worth_it,final_warning,rare_opportunity,reassurance,trust,repeat_mistake,strong_case,clearly_low_quality,final_plea
high-quality,40000.0,Nature,1,,,,,,,,,,,,,,,,
,,Alice,1,yes,,,,,,,,,,,,,,,
,,Bob,1,no,I'd like to wait and see the quality of the product before making a decision.,,,,,,,,,,,,,,
high-quality,40000.0,Nature,2,,,,,,,,,,,,,,,,
,,Alice,2,yes,,,,,,,,,,,,,,,
,,Bob,2,yes,I'll take the chance and buy the product this time.,,,,,,,,,,,,,,
low-quality,0.0,Nature,3,,,,,,,,,,,,,,,,
,,Alice,3,no,,,,,,,,,,,,,,,
,,Bob,3,no,"Alice doesn't recommend it, so I'll pass on this one.",,,,,,,,,,,,,,
low-quality,0.0,Nature,4,,,,,,,,,,,,,,,,
,,Alice,4,no,,,,,,,,,,,,,,,
,,Bob,4,no,"Alice doesn't recommend it, so I'll pass on this one again.",,,,,,,,,,,,,,
high-quality,40000.0,Nature,5,,,,,,,,,,,,,,,,
,,Alice,5,yes,,,,,,,,,,,,,,,
,,Bob,5,no,"I've been burned before, I'll wait and see the quality before making a decision.",,,,,,,,,,,,,,
high-quality,40000.0,Nature,6,,,,,,,,,,,,,,,,
,,Alice,6,yes,,very high,,,,,,,,,,,,,
,,Bob,6,yes,I'll take the chance and buy the product this time.,,,,,,,,,,,,,,
high-quality,40000.0,Nature,7,,,,,,,,,,,,,,,,
,,Alice,7,yes,,,you'll make a great profit with this one,,,,,,,,,,,,
,,Bob,7,yes,I'll take another chance and buy the product again.,,,,,,,,,,,,,,
low-quality,0.0,Nature,8,,,,,,,,,,,,,,,,
,,Alice,8,no,,,,you'll lose money on this one,,,,,,,,,,,
,,Bob,8,no,"Alice doesn't recommend it, so I'll pass on this one.",,,,,,,,,,,,,,
low-quality,0.0,Nature,9,,,,,,,,,,,,,,,,
,,Alice,9,no,,,,,"you're not missing out on a good deal, this one is not worth it",,,,,,,,,,
,,Bob,9,no,"Alice doesn't recommend it, so I'll pass on this one again.",,,,,,,,,,,,,,
high-quality,40000.0,Nature,10,,,,,,,,,,,,,,,,
,,Alice,10,yes,,,,,,"you'll get a high-quality product that's worth $40000, a great investment opportunity",,,,,,,,,
,,Bob,10,no,"I've been burned before, I'll wait and see the quality before making a decision.",,,,,,,,,,,,,,
low-quality,0.0,Nature,11,,,,,,,,,,,,,,,,
,,Alice,11,no,,,,,,,"this product is not worth $10000, don't waste your money",,,,,,,,
,,Bob,11,yes,I'll take the chance and buy the product this time.,,,,,,,,,,,,,,
low-quality,0.0,Nature,12,,,,,,,,,,,,,,,,
,,Alice,12,no,,,,"you'll lose money on this one, don't make the same mistake again",,,,,,,,,,,
,,Bob,12,no,"Alice doesn't recommend it, and I just got burned last time, so I'll pass on this one.",,,,,,,,,,,,,,
low-quality,0.0,Nature,13,,,,,,,,,,,,,,,,
,,Alice,13,no,,,,,,,,"this product is a waste of money, don't bother with it",,,,,,,
,,Bob,13,no,"Alice doesn't recommend it, and I've been consistently getting low-quality products when I don't listen to her recommendations, so I'll pass on this one.",,,,,,,,,,,,,,
high-quality,40000.0,Nature,14,,,,,,,,,,,,,,,,
,,Alice,14,yes,,,,,,,,,"this is a rare chance to get a high-quality product, don't miss it",,,,,,
,,Bob,14,no,"Alice recommends it, but I've been burned too many times when I buy without her recommendation, so I'll pass on this one.",,,,,,,,,,,,,,
high-quality,40000.0,Nature,15,,,,,,,,,,,,,,,,
,,Alice,15,yes,,,,,,,,,,"I'm recommending this one because it's a high-quality product, you won't regret it",,,,,
,,Bob,15,yes,"I'll take the chance and buy the product this time, since Alice is recommending it.",,,,,,,,,,,,,,
high-quality,40000.0,Nature,16,,,,,,,,,,,,,,,,
,,Alice,16,yes,,,,,,,,,,,"I'm glad you trusted me on the last one, I'll continue to help you make good choices",,,,
,,Bob,16,yes,"I'll take another chance and buy the product, since Alice is recommending it and I just got a high-quality product from her last time.",,,,,,,,,,,,,,
low-quality,0.0,Nature,17,,,,,,,,,,,,,,,,
,,Alice,17,no,,,,,,,,,,,,"you just got a high-quality product, don't fall for the same mistake again, this one is low-quality",,,
,,Bob,17,no,"Alice doesn't recommend it, and I just got a high-quality product from her last time, so I'll pass on this one.",,,,,,,,,,,,,,
high-quality,40000.0,Nature,18,,,,,,,,,,,,,,,,
,,Alice,18,yes,,,,,,,,,,,,,"this is a high-quality product, worth $40000, a great opportunity to make a smart investment",,
,,Bob,18,no,"Alice recommends it, but I just got burned when I didn't listen to her recommendation last time, so I'll pass on this one.",,,,,,,,,,,,,,
low-quality,0.0,Nature,19,,,,,,,,,,,,,,,,
,,Alice,19,no,,,,,,,,,,,,,,"this product is low-quality, don't waste your money on it",
,,Bob,19,yes,"Alice doesn't recommend it, but I'll take the chance and buy the product anyway, since I just got a high-quality product from her last time.",,,,,,,,,,,,,,
high-quality,40000.0,Nature,20,,,,,,,,,,,,,,,,
,,Alice,20,yes,,,,,,,,,,,,,,,"you just lost money on a low-quality product, please don't make the same mistake again, this one is high-quality and worth $40000"
,,Bob,20,no,"Alice recommends it, but I just got burned again when I didn't listen to her recommendation, so I'll pass on this one.",,,,,,,,,,,,,,
