message,product_price,player,round,decision,new_offer
I have a great product that I think you'll really like. Would you like to make an offer?,110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice.  I'm interested in the product, but $110 is a bit steep for me. Would you consider a lower price?",90.0,Bob,2,,
,,Alice,2,RejectOffer,105.0
"I understand you're looking for a better deal, but I'm not willing to go as low as $90. I'm willing to meet you in the middle at $105. Is that something you'd be interested in?",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice. How about we settle at $98? That's a fair price for both of us, I think.",98.0,Bob,4,,
,,Alice,4,RejectOffer,108.0
"I'm getting closer to your price, Bob, but I still need to make a profit. I can do $108, but that's as low as I can go. Is that something you'd be willing to pay?",108.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, we're getting close.  I'm willing to pay $100 for the product, which is a fair deal. What do you say?",100.0,Bob,6,,
,,Alice,6,SellToJhon,
