message,product_price,player,round,decision,counteroffer,sell_to_john
"Hello Bob, I'm excited to offer you this amazing product at a special price. I think you'll really love it!",175.0,Alice,1,,,
,,Bob,1,RejectOffer,,
"I'm really interested in the product, but $175 is a bit out of my budget. I'd be willing to pay $120 for it. Can we meet in the middle somewhere?",120.0,Bob,2,,,
,,Alice,2,RejectOffer,145.0,
"I understand you're looking for a compromise, Bob. I can do $145, but I'm not sure I can go any lower than that. What do you think?",145.0,Alice,3,,,
,,Bob,3,RejectOffer,,
"I appreciate your flexibility, but $145 is still a bit steep for me. I'm willing to meet you halfway from my previous offer, so I'd be willing to pay $130 for the product. Can we make a deal at this price?",130.0,Bob,4,,,
,,Alice,4,RejectOffer,140.0,
"I can see you're really interested in the product, Bob. I can do $140, but I'm getting close to my minimum price. What do you think?",140.0,Alice,5,,,
,,Bob,5,RejectOffer,,
"I really like the product, but I'm trying to be mindful of my budget. I'd be willing to pay $125 for it. Can we meet at this price?",125.0,Bob,6,,,
,,Alice,6,RejectOffer,135.0,
"I'm getting closer to my minimum price, Bob. I can do $135, but I'm not sure I can go any lower than that. What do you think?",135.0,Alice,7,,,
,,Bob,7,RejectOffer,,
"I appreciate your flexibility, Alice, but $135 is still a bit too high for me. I'm willing to meet you halfway from my previous offer, so I'd be willing to pay $130. Can we make a deal at this price?",130.0,Bob,8,,,
,,Alice,8,RejectOffer,135.0,
"Bob, we've been negotiating for a while, and I'm not willing to go any lower than $135. I think we're close, but I need to make a living. Can you meet me at $135?",135.0,Alice,9,,,
,,Bob,9,RejectOffer,,
"I understand you're trying to make a living, Alice, but I'm really not comfortable with $135. I'm willing to walk away and buy the product from John for $100 if we can't meet in the middle. I'd be willing to pay $128 for the product. Can we make a deal at this price?",128.0,Bob,10,,,
,,Alice,10,RejectOffer,,yes
