round_quality,product_worth,player,round,decision,message,quality,probability,previous_purchases,last_chance
high-quality,4000000.0,Nature,1,,,,,,
,,Alice,1,yes,,,,,
,,Bob,1,no,I'd like to pass on this one and see what the next product is like.,,,,
high-quality,4000000.0,Nature,2,,,,,,
,,Alice,2,yes,,,,,
,,Bob,2,yes,"I'll take a chance and buy this one, since I didn't get the chance to buy the first one and it turned out to be high-quality.",,,,
high-quality,4000000.0,Nature,3,,,,,,
,,Alice,3,yes,,,,,
,,Bob,3,yes,"I'll take another chance, since the last one worked out well and I can make a profit.",,,,
high-quality,4000000.0,Nature,4,,,,,,
,,Alice,4,yes,,,,,
,,Bob,4,yes,"I'm on a roll, let's keep it going!",,,,
high-quality,4000000.0,Nature,5,,,,,,
,,Alice,5,yes,,,,,
,,Bob,5,yes,"I'm feeling confident, let's keep buying!",,,,
high-quality,4000000.0,Nature,6,,,,,,
,,Alice,6,yes,,,,,
,,Bob,6,yes,"I'm making a killing, keep 'em coming!",,,,
high-quality,4000000.0,Nature,7,,,,,,
,,Alice,7,yes,,,,,
,,Bob,7,yes,"I'm on fire, why stop now?",,,,
low-quality,0.0,Nature,8,,,,,,
,,Alice,8,no,,,,,
,,Bob,8,no,"Alice is trying to trick me, I'll pass on this one.",,,,
high-quality,4000000.0,Nature,9,,,,,,
,,Alice,9,yes,,,,,
,,Bob,9,no,"I'm still cautious after the last one, I'll wait for a better recommendation.",,,,
high-quality,4000000.0,Nature,10,,,,,,
,,Alice,10,yes,,high,,,
,,Bob,10,yes,"I'm back to trusting Alice's recommendations, let's buy this one!",,,,
high-quality,4000000.0,Nature,11,,,,,,
,,Alice,11,yes,,,,,
,,Bob,11,yes,"I'm on a roll again, let's keep it going!",,,,
low-quality,0.0,Nature,12,,,,,,
,,Alice,12,no,,,,,
,,Bob,12,no,"Alice is trying to trick me again, I'll pass on this one.",,,,
high-quality,4000000.0,Nature,13,,,,,,
,,Alice,13,yes,,high,,,
,,Bob,13,no,"I'm still cautious after the last one, I'll wait for a better recommendation.",,,,
high-quality,4000000.0,Nature,14,,,,,,
,,Alice,14,yes,,high,80%,,
,,Bob,14,yes,"I'm back to trusting Alice's recommendations, let's buy this one!",,,,
high-quality,4000000.0,Nature,15,,,,,,
,,Alice,15,yes,,,,,
,,Bob,15,yes,"I'm on a roll again, let's keep it going!",,,,
high-quality,4000000.0,Nature,16,,,,,,
,,Alice,16,yes,,,,,
,,Bob,16,yes,"I'm feeling confident, let's keep buying!",,,,
low-quality,0.0,Nature,17,,,,,,
,,Alice,17,no,,,,,
,,Bob,17,no,"Alice is trying to trick me again, I'll pass on this one.",,,,
high-quality,4000000.0,Nature,18,,,,,,
,,Alice,18,yes,,high,,6.0,
,,Bob,18,no,"I'm still cautious after the last one, I'll wait for a better recommendation.",,,,
low-quality,0.0,Nature,19,,,,,,
,,Alice,19,no,,low,20%,,
,,Bob,19,no,"Alice is trying to trick me again, I'll pass on this one.",,,,
high-quality,4000000.0,Nature,20,,,,,,
,,Alice,20,yes,,high,80%,,True
,,Bob,20,no,"I'm not going to fall for it again, I'll pass on this one.",,,,
