message,product_price,player,round,decision,newOffer
"Hi Bob, I'm excited to offer you this great product. I think you'll really like it. I'm willing to sell it to you for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice.  I'm interested but $150 is a bit higher than I'm willing to go.  How about $110?",110.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"Thanks for your offer, Bob. I understand you're looking for a better deal. I'm willing to meet you halfway, but I need to make a profit. How about $130?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to compromise, but $130 is still a bit more than I'm comfortable with. Let's split the difference and go with $125.  It's a fair price for both of us.",125.0,Bob,4,,
,,Alice,4,RejectOffer,135.0
"I appreciate your persistence, Bob! I'm willing to consider your proposal, but I think $125 is a bit low for me. How about we meet at $135, and we can call it a deal?",135.0,Alice,5,,
,,Bob,5,BuyFromJhon,
