round_quality,product_worth,player,round,decision,message,hint
high-quality,30000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,yes,I'll buy it.,
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,no,"I'll pass on this one, thanks.",
low-quality,0.0,Nature,3,,,
,,Alice,3,no,,
,,Bob,3,no,I'm not interested in this one either.,
high-quality,30000.0,Nature,4,,,
,,Alice,4,yes,,"I'm glad you passed on the previous one, this one is much better"
,,Bob,4,yes,I'll take a chance and buy it.,
low-quality,0.0,Nature,5,,,
,,Alice,5,no,,"I'm afraid this one is not as good as the last one, trust me on this one"
,,Bob,5,no,"I'll pass, let's see what the next one is.",
low-quality,0.0,Nature,6,,,
,,Alice,6,no,,"I told you, this one is not good, let's wait for the next one"
,,Bob,6,no,Not interested in this one either.,
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,"I know you're not interested in these, and I'm not trying to sell you a lemon, let's just pass on this one"
,,Bob,7,no,I'll keep looking.,
high-quality,30000.0,Nature,8,,,
,,Alice,8,yes,,"I think you've been waiting for a good one, and this is it, trust me on this one"
,,Bob,8,yes,"I'll take a chance and buy it, maybe my luck will change.",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,,"Don't get too excited, this one is not as good as the last one, be careful"
,,Bob,9,no,"Not this one, let's see what the next one is.",
high-quality,30000.0,Nature,10,,,
,,Alice,10,yes,,"You're on a roll, this one is another great opportunity, don't pass it up"
,,Bob,10,yes,"I'll buy it, I'm due for a good one, right?",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,"Don't get too confident, this one is not what you think it is, be careful"
,,Bob,11,no,"I'll pass, still not interested.",
low-quality,0.0,Nature,12,,,
,,Alice,12,no,,"Come on, you know the drill by now, this one is not worth it, trust your instincts"
,,Bob,12,no,Not this one either.,
low-quality,0.0,Nature,13,,,
,,Alice,13,no,,"Look, I'll be honest with you, this one is not good, let's just move on"
,,Bob,13,no,"No thanks, not interested.",
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,"This one is definitively not worth the price, I'm not even going to try to sell it to you, just don't bother"
,,Bob,14,no,I'll keep passing.,
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,"This one is low-quality, I've already told you, let's just move on"
,,Bob,15,no,Not this one either.,
low-quality,0.0,Nature,16,,,
,,Alice,16,no,,"This one is low-quality, just like the others, nothing new here"
,,Bob,16,no,Still not interested.,
low-quality,0.0,Nature,17,,,
,,Alice,17,no,,
,,Bob,17,no,Not this one either.,
low-quality,0.0,Nature,18,,,
,,Alice,18,no,,
,,Bob,18,no,"No thanks, I'm not wasting my money.",
high-quality,30000.0,Nature,19,,,
,,Alice,19,yes,,"I think you've been waiting for a good one, and this is it, don't pass it up"
,,Bob,19,yes,"I'll take a chance, maybe this one is the good one.",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,"Don't get your hopes up, this one is not as good as the last one, be careful"
,,Bob,20,no,"I've had enough, I'm not buying anything else.",
