message,product_price,player,round,decision,newOffer
I have a great product that I think you'll love. I'm willing to let it go for $120.,120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested, but $120 is a bit steep for me.  Would you consider $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,115.0
"I understand you're looking for a good deal, Bob. I can do $110, but that's as low as I can go.",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice.  How about we split the difference and call it $100?",100.0,Bob,4,,
,,Alice,4,RejectOffer,110.0
"I'm glad you're still interested, Bob. I can meet you in the middle, but I need $110 to make it worth my while.",110.0,Alice,5,,
,,Bob,5,AcceptOffer,
