alice_gain,bob_gain,player,round,decision
750000.0,250000.0,Alice,1,
,,Bob,1,reject
500000.0,500000.0,Bob,2,
,,Alice,2,reject
612500.0,387500.0,Alice,3,
,,Bob,3,reject
375000.0,625000.0,Bob,4,
,,Alice,4,reject
537600.0,462400.0,Alice,5,
,,Bob,5,reject
300000.0,700000.0,Bob,6,
,,Alice,6,reject
476160.0,523840.0,Alice,7,
,,Bob,7,reject
250000.0,750000.0,Bob,8,
,,Alice,8,reject
405466.0,594534.0,Alice,9,
,,Bob,9,reject
200000.0,800000.0,Bob,10,
,,Alice,10,reject
352041.0,647959.0,Alice,11,
,,Bob,11,reject
150000.0,850000.0,Bob,12,
,,Alice,12,accept
