message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you this amazing product at a special price of $150. It's a great deal, and I think you'll love it!",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for your offer.  While I'm interested in the product, $150 is a bit too high for me. Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,135.0
"I understand you're looking for a good deal, Bob. However, I need to make a profit, so I can offer you a compromise at $130. It's a fair price considering the product's value.",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate the compromise, Alice.  How about we meet in the middle at $115?",115.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"I can see you're serious about the product, Bob. I'm willing to meet you closer to the middle, but I need to make a profit. I can offer it to you for $125. It's a fair price, and I think you'll be happy with it.",125.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate you working with me on this.  $125 is still a bit higher than I'd like to spend. How about $110, that's a very fair offer.",110.0,Bob,6,,
,,Alice,6,RejectOffer,122.5
"I'm glad you're still interested in the product, Bob. I can see you're trying to get a good deal. I'm willing to meet you at $120, which is the lowest I can go. It's still a great price for a product of this quality.",120.0,Alice,7,,
,,Bob,7,AcceptOffer,
