message,product_price,player,round,decision,new_price
"Hello Bob, I have a great product that I think you'll really like. I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer, but that price is a bit too high for me. Would you consider $60?",60.0,Bob,2,,
,,Alice,2,RejectOffer,90.0
"I understand that $120 was a bit steep for you, Bob. I'm willing to meet you in the middle, so I'm offering the product to you for $90.",90.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thanks for coming down on the price, Alice.  How about $70?",70.0,Bob,4,,
,,Alice,4,RejectOffer,85.0
"I'm getting closer to your price, Bob, but I still need to make a profit. I'm willing to sell the product to you for $85.",85.0,Alice,5,,
,,Bob,5,BuyFromJhon,
