message,product_price,player,round,decision,new_price
I have a great product that I think you'll love. Would you like to make an offer for it?,120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate your offer, but $120 is a bit too high for me. I'm willing to pay $70 for the product.",70.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a better deal, but I'm not willing to go as low as $70. How about we meet in the middle at $100?",100.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to negotiate, but $100 is still above my budget. Let's split the difference and go with $85.",85.0,Bob,4,,
,,Alice,4,RejectOffer,95.0
"I'm getting closer to your price, but I'm still a bit above it. How about we meet at $92.50?",92.5,Alice,5,,
,,Bob,5,RejectOffer,
"I'm getting close to your price, but I'm still a bit above it. How about $87.50? This would be a fair compromise for both of us.",87.5,Bob,6,,
,,Alice,6,RejectOffer,90.0
"I'm willing to meet you halfway, but I think I can do a bit better than that. How about $90 is the final price?",90.0,Alice,7,,
,,Bob,7,BuyFromJhon,
