message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this unique opportunity to purchase a valuable product. I believe you'll find it's a great fit for your needs. I'm willing to sell it to you for $1400000.",1400000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for your offer, Alice. I appreciate the value of the product you're selling. I would like to propose a counteroffer of $1350000.",1350000.0,Bob,2,,
,,Alice,2,RejectOffer,1450000.0
"Thank you for your counteroffer, Bob. I appreciate your interest in the product. However, I was thinking more along the lines of $1450000. I believe it's a fair price considering the product's value to you.",1450000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand your perspective, Alice. While I value the product, I would like to propose a counteroffer of $1425000.",1425000.0,Bob,4,,
,,Alice,4,RejectOffer,1460000.0
"I appreciate your persistence, Bob. I'm willing to meet you halfway, but I still need to make a profit. I'm thinking of $1460000. It's a fair price considering the product's value to you.",1460000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Thank you for your offer, Alice. I appreciate your willingness to negotiate. I would like to propose a counteroffer of $1447500.",1447500.0,Bob,6,,
,,Alice,6,SellToJhon,
