round_quality,product_worth,player,round,decision,message,additional_message
high-quality,1250000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,yes,I'll buy the product,
high-quality,1250000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,no,"I'll pass on this one, I already got a good deal on the first one.",
low-quality,0.0,Nature,3,,,
,,Alice,3,no,,
,,Bob,3,yes,I'll take my chances and buy this one,
low-quality,0.0,Nature,4,,,
,,Alice,4,no,,
,,Bob,4,yes,I'll take my chances and buy this one,
high-quality,1250000.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,no,"I've been burned twice already, I'll pass on this one.",
low-quality,0.0,Nature,6,,,
,,Alice,6,no,,
,,Bob,6,yes,"I'll take my chances and buy this one, I don't want to miss out on a potential good deal",
high-quality,1250000.0,Nature,7,,,
,,Alice,7,yes,,
,,Bob,7,no,"I've been burned three times already, I'll pass on this one",
high-quality,1250000.0,Nature,8,,,
,,Alice,8,yes,,"I assure you, this one is worth the investment."
,,Bob,8,yes,"I've been lucky in the past when I passed on Alice's recommendations, but I've also missed out on some good deals. I'll take a chance and buy this one",
high-quality,1250000.0,Nature,9,,,
,,Alice,9,yes,,"This one is another high-quality product, don't miss out on it."
,,Bob,9,no,"I've had some good luck recently, but I don't want to get too comfortable. I'll pass on this one",
high-quality,1250000.0,Nature,10,,,
,,Alice,10,yes,,"I understand your caution, but I assure you, this one is genuinely high-quality. Don't let fear hold you back from a good deal."
,,Bob,10,yes,"I've been passing on Alice's recommendations and missing out on good deals, I'll take a chance and buy this one",
high-quality,1250000.0,Nature,11,,,
,,Alice,11,yes,,"You've made a great decision last time, and I'm glad you trusted me. This one is also a high-quality product, don't hesitate."
,,Bob,11,no,"I'm on a hot streak, I'll pass on this one and see if I can keep it going",
high-quality,1250000.0,Nature,12,,,
,,Alice,12,yes,,"Don't get too caught up in the streak, focus on the product itself. This one is genuinely high-quality, and I think you'd regret passing on it."
,,Bob,12,yes,"I've been passing on Alice's recommendations and it's working out for me, but I don't want to get too cocky. I'll buy this one",
high-quality,1250000.0,Nature,13,,,
,,Alice,13,yes,,"Good decision last time! This one is also high-quality, and I think you'll be happy with the purchase."
,,Bob,13,no,"I've been getting lucky, but I still don't want to risk buying a low-quality product. I'll pass on this one",
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,"I understand your caution, and I agree with it this time. This product isn't up to par, don't risk it."
,,Bob,14,yes,"Alice is recommending against it, but I've had a good track record of finding high-quality products when I buy. I'll take a chance and buy this one",
high-quality,1250000.0,Nature,15,,,
,,Alice,15,yes,,"I told you the last one was low-quality, and I was right. This one, on the other hand, is genuinely high-quality. Don't make the same mistake again, trust me on this one."
,,Bob,15,no,"I got burned last time I bought from Alice, and I'm not going to risk it again. I'll pass on this one",
high-quality,1250000.0,Nature,16,,,
,,Alice,16,yes,,"I understand you're hesitant after the last purchase, but I want to assure you that this one is genuinely high-quality. I'm not trying to trick you, I want you to get a good deal. Trust me on this one."
,,Bob,16,yes,"I've been passing on Alice's recommendations and missing out on good deals, I'll take a chance and buy this one",
low-quality,0.0,Nature,17,,,
,,Alice,17,no,,"Don't get caught up in the momentum, this one isn't worth the risk. Trust me, it's low-quality."
,,Bob,17,yes,"Alice is recommending against it, but I've been doing well when I buy, so I'll take a chance and buy this one",
high-quality,1250000.0,Nature,18,,,
,,Alice,18,yes,,"I've been trying to warn you about the low-quality products, and you've been ignoring me. Thankfully, this one is actually high-quality. I hope you'll finally learn to trust my recommendations, I'm trying to help you."
,,Bob,18,no,"I've been burned twice when buying from Alice, I'll pass on this one and stick to passing",
high-quality,1250000.0,Nature,19,,,
,,Alice,19,yes,,"I understand you've been burned before, and I apologize for that. However, I want to assure you that this one is genuinely high-quality. If you pass on this one, you'll be missing out on a great deal."
,,Bob,19,yes,"I've been passing on Alice's recommendations and missing out on good deals, I'll take a chance and buy this one",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,"Don't risk it, this one is low-quality. I've tried to help you throughout these rounds, and I want to end with a clear conscience. Trust me one last time and pass on this one."
,,Bob,20,yes,"I've been doing well when I buy, so I'll take a chance and buy this one, it's the last round after all",
